student1_id,student2_id,student1_wins,student2_wins,num_ties,student1_stack,student2_stack
b10902122,b10902124,3,2,0,7420,2580
b10902050,b10902110,5,0,0,5375.0,4625
b11505050,b10902114,5,0,0,5132.4,4865.8
b10902134,b09303036,5,0,0,5359.333333333334,4640
b10902015,b10902010,1,4,0,4724,5276
b10902125,b10902115,4,1,0,7350.0,2644.0
b09208022,b10902110,5,0,0,5300,4700
t12902103,b09902013,1,4,0,3240.0,6760.0
b10502010,b11902138,3,2,0,3977.75,6015.0
b11902158,b10902054,3,2,0,4786.44625,5206.4800000000005
b10902132,b10902044,1,4,0,2941,7059
b11902035,b10902116,2,3,0,5404.0,4594.8
b11902035,b10902087,5,0,0,7336,2664
b10902009,b10902127,1,4,0,3300,6700
b11902057,b11701242,4,1,0,6104.321180555556,3889.0698784722226
b10902068,b10902040,3,2,0,4624.343013519099,5365.545923517397
b10902133,b11902072,1,4,0,2649.5,7346.0
b11902069,b09705029,2,3,0,2926,7074
b10902088,b12901024,3,2,0,5181.7247619549435,4801.0
b12902104,b10902100,4,1,0,8361.0,1637.0
b11902067,b10902057,3,2,0,5830,4170
b10401008,b10902044,5,0,0,8932,1063
b10705005,b10902045,2,3,0,4777.2184384,5214.851593087999
b11505050,b10902139,4,1,0,5435.976215098242,4562.592377658357
b11902138,b06401151,2,2,1,5844,4156
b10401006,b10902032,3,2,0,6000,4000
b10902122,b10902041,1,3,1,4975,5025
b09303016,b11902035,4,0,1,8070,1930
b10b01041,b10902073,1,4,0,4570.261565870474,5417.596273341131
b10902015,b09202004,5,0,0,7929,2062
b10902086,b10902082,3,2,0,5880,4120
b09902002,b11902125,3,2,0,5529.029166666668,4466.733333333334
b10902135,b09705029,4,1,0,6586.666666666667,3413.0
b10902109,b10902127,1,4,0,2072.0,7921.0
b10902108,b10902067,3,2,0,6642.55,3353.0
b10902012,b12901024,3,2,0,6136.18194940502,3861.357667777669
b10902040,b10b01041,4,1,0,5503.0282050654805,4486.697093041318
b10902021,b11902009,2,3,0,6153.482,3841.0
b10902126,b09705029,3,2,0,5363,4637
b11701242,b10902123,3,2,0,6776,3224
b10902079,b10902132,2,3,0,3625,6375
b11701242,t12902105,4,1,0,6440,3560
b10902063,b10502058,2,3,0,2685.0,7314.125
b10902095,b08705058,2,3,0,4000,6000
b10902101,b08501002,4,1,0,5670.2555555555555,4324.233333333334
b10902138,b09902013,3,2,0,6192.0,3805.0
b10902103,b12901024,2,3,0,3005,6995
b10902051,b10902035,2,3,0,5007.798328348088,4972.632406983098
b10902021,b11705031,0,5,0,4639.5305,5342.775857494999
b10902014,b09605039,2,3,0,2184.0,7793.492721369479
b11902143,b12902104,5,0,0,5095.0,4899.0
b10902039,b10902014,3,2,0,4698.49267578125,5286.0
b10202024,b11902107,1,4,0,4706.6944903556305,5291.6944903556305
b11902113,b10705044,4,1,0,6125,3875
b10202063,b10902033,3,2,0,4987,5013.0
b11902140,b08705058,4,1,0,8000.0,2000
b10902021,b10902051,3,2,0,4845.438813527749,5145.099435308905
b10902121,b09705029,4,1,0,7998,2000
b10902129,b11902113,1,4,0,3685,6315
b10902061,b10902031,2,3,0,3210.9246137142854,6777.603051080459
b11701242,b11902006,1,4,0,5711,4289
b10902061,b10902071,1,4,0,4399.970926177299,5581.0
b09701214,b10902114,4,1,0,5776.6,4221.0
b09901028,b09202004,3,2,0,6351,3644
b11902156,b10902091,2,3,0,4528.0,5472.0
b10902009,b10902109,2,3,0,4190.315127551021,5801.0
b10902009,b11902156,3,2,0,4757,5243
b10902129,b10202053,2,3,0,5783.0,4217.0
b09401140,b10902133,0,5,0,3819.361969088,6178.40719932176
b09701214,b10902139,3,2,0,6999,2999.0
b11902156,b10902127,0,5,0,2403,7597
b10401008,b11902010,5,0,0,9835.0,165.0
b11902044,b10902095,2,3,0,3005,6980
b09208022,b10902050,2,3,0,3220.0,6780.0
b10902129,b10902111,2,3,0,4915,5085
b10b01041,b09705002,2,3,0,2905.928675348676,7078.555926764864
b11705051,b10902103,0,5,0,4805,5195
b10902134,b10902027,1,4,0,3982.0,6017.0
b10505011,b10902118,0,5,0,2563.3336145356966,7428.401453831457
b10902091,b10902127,3,2,0,5869.5,4130
b10505057,b10902133,0,5,0,3859.8366811810565,6131.34423123076
b10902049,b09208022,2,3,0,4455,5545
b10902037,b10902072,2,3,0,4000.0,5997.336181640625
b10902014,b11901016,1,4,0,4180,5820
b11902048,b10902110,5,0,0,5420,4580
b09208022,b11902048,3,2,0,5700,4300
b10202024,b10902114,5,0,0,5377.4,4614.6
b11902135,b10902004,4,1,0,8000.0,2000.0
b09201009,b09902057,0,5,0,4250,5750
b06401036,b12902098,3,2,0,6711,3289
b10505029,b09602017,2,3,0,4030,5970
b10902068,b09705002,1,4,0,4147.76922898,5839.180830259999
b11902001,b10902032,0,5,0,4625,5375
b09508001,b10902118,3,2,0,6348.0,3637.705875
b10902005,b10902087,4,1,0,4496.057048429494,5499.1571916647
r12922098,b11902085,4,1,0,5420.059293684448,4572.289856900303
b09303016,b10902005,2,3,0,4843.984098845658,5147.897429278863
b11902156,b10902109,1,4,0,4545,5455
b10902019,r12922098,2,3,0,4710.762386614768,5277.667499646001
b08705058,r12246005,3,2,0,6225,3775
t12902155,b10202053,0,5,0,4318.0,5682.0
b10902079,b10401008,3,2,0,5310,4685
b09508001,b10505011,4,1,0,5635.549619505476,4359.584082552905
b11705006,b10902087,5,0,0,5304,4696
b10902010,b09202004,3,2,0,4600,5400
b10902109,b10902091,2,3,0,4138.0,5854.199285714286
b11705051,b10902088,0,5,0,3916.267690834441,6063.088135191736
b10902070,b09902002,4,1,0,6683.0,3316.0
b11902051,b10705005,5,0,0,7219,2781
b10902005,b10902116,3,2,0,4250.796518706944,5736.3446000568265
b10902027,b10902067,2,3,0,3840.0,6160.0
b10902010,b09203001,1,4,0,4990.71,5008.483920000001
b09303016,b11705006,4,1,0,4501,5499
b10902024,b10902045,5,0,0,5073.856661599894,4917.6015473624175
b10902049,b11902048,3,2,0,6000,4000
b10902063,b10902071,2,3,0,4483.25,5515.0
b10902049,b10902050,2,3,0,4350.0,5650.0
b10902009,b10902091,1,4,0,4586.75,5409.5
b10902057,b06401151,0,5,0,955,9045
b10902042,b11902048,4,1,0,7370.0,2630.0
b10902077,b10902035,3,2,0,5947.0,4053.0
b10902134,b10902108,2,3,0,6155.05,3837.0493198552
b09901028,b09203001,1,4,0,3280.8333333333335,6717.833333333334
b10902074,b11902127,3,2,0,5645,4355
b10401006,b10204022,1,4,0,3265,6735.0
b10902049,b10902042,2,3,0,4135,5865
b10902139,b10902114,5,0,0,5079.221646196307,4910.0
b09901142,b11902158,3,2,0,5291.953125,4704.5
b10902114,b11902107,1,4,0,4877.532986084125,5112.716117788373
r12922098,b11902078,3,2,0,6278.797559826204,3706.2270314555935
b08209028,b10505011,4,1,0,7992.579306304216,1997.6028193917016
b11705057,b09902013,1,4,0,3917.3,6080.8
b10902103,b10902088,4,1,0,7565.0,2419.504724761648
b11902129,b11902158,2,3,0,3490.0,6506.875
b10902135,b11705048,3,2,0,4245.0,5753.0
b10902040,b09705002,3,2,0,4806.7029658969395,5180.899734489203
b10202063,b10902020,4,1,0,8050,1950
b09902057,b11902047,2,3,0,5071,4929
b11705051,b10902012,0,5,0,4905,5094.462166100605
b10902014,b10902002,2,3,0,4822.0,5178.0
b10902031,b10502058,3,2,0,6848.313022776334,3136.219910646946
b11902140,b11902044,3,2,0,6410.205268070783,3577
b10902013,b10902033,3,2,0,5245.0,4755.0
b10401008,b10902132,4,1,0,8167,1833
b10902019,b10201054,3,2,0,6739,3261
b10902071,b10502058,5,0,0,6661.0,3335.5699999999997
b08209028,b09508001,0,5,0,4744.0,5256.0
b10902122,b11902027,0,5,0,260,9736.235952103245
b10902019,b11902085,2,3,0,4960,5040
b10902139,b11902107,1,4,0,4761.321093403406,5232.625430467326
b09705002,b10902073,3,2,0,7050.534812541253,2946.6773112613782
b10902113,b11902001,5,0,0,5420,4580
b11902158,b11902127,1,4,0,2977.5,7020
b09202004,b09203001,2,3,0,4356.0,5641.158333333333
b10902057,b11902138,2,3,0,4800,5200
b10502042,b06401151,0,5,0,1989,8011
t12902155,b11902113,2,3,0,5590,4410
b10201026,b10902118,2,3,0,3998.0,5997.099999999999
b11705048,b09705029,1,4,0,1096,8904
b09203001,b10902089,4,1,0,7019.88,2980
b10902037,b11705008,5,0,0,5354.777010333157,4640
b10902104,b11902111,2,3,0,3603.05422,6396.05422
b10902015,b09203001,2,3,0,4958.91,5037.994011111111
b11902145,b11902155,3,2,0,5055,4945
b10902052,b10705005,2,3,0,5062.3271484375,4930.0
b10902050,b11902048,3,2,0,4838.75,5160.0
b11705006,b10902116,4,1,0,5742,4258
