student_dir,opponent,games_won,num_ties,student_stacks,opponent_stacks,points_earned
b10902072,baseline1,3,0,5996.873641967773,2000.0,5
b10902072,baseline2,3,0,6431.165657043457,3554.1235885620117,5
b10902072,baseline3,3,0,5251.428024291992,719.9552001953125,5
b10902072,baseline4,2,0,3989.4739916590024,5993.255298519752,3.0
b10902072,baseline5,2,0,4882.974136352539,5089.848106384277,3.0
b10902072,baseline6,3,0,6225.852783203125,1762.2744140625,5
b10902072,baseline7,3,0,5996.0743408203125,0,5
b10902072,strong1,2,0,4000.0,6000,0
b10902072,strong2,0,0,2322.879669189453,7641.547271728516,0
b10902072,strong3,3,0,3547.756576538086,4435,2
b10902072,strong4,1,0,2037.1238352905798,7934.888902004635,0
b10902072,strong5,3,0,6209.272048950195,1770.0,2
b10502010,baseline1,3,0,3957.6388888888887,6035.833333333334,5
b10502010,baseline2,2,0,5289.916666666667,4704.416666666667,3.0
b10502010,baseline3,3,0,3178.75,2816.875,5
b10502010,baseline4,3,0,5208.166666666667,4776.0618985069395,5
b10502010,baseline5,0,0,2608.0,7385.0,0.0
b10502010,baseline6,1,0,2861.2083333333335,7130.258333333334,1.5
b10502010,baseline7,1,0,2122.75,7870.0,1.5
b10502010,strong1,3,0,4536.333333333334,1460.0,2
b10502010,strong2,2,0,5052.5,4938.0,0
b10502010,strong3,3,0,3940.3333333333335,4056.3333333333335,2
b10502010,strong4,3,0,3135.3608133333337,4852.654346666667,2
b10502010,strong5,3,0,5774.5,225.0,2
b10902048,baseline1,1,0,4451.0,5547.3045,1.5
b10902048,baseline2,1,0,4696.0,5304.0,1.5
b10902048,baseline3,1,0,4699.0,5300,1.5
b10902048,baseline4,1,0,4475.96,5509.029081763307,1.5
b10902048,baseline5,1,0,4777.898686945715,5212.144781282078,1.5
b10902048,baseline6,1,0,4678.799999999814,5313.999999999998,1.5
b10902048,baseline7,3,0,6239.3,1760,5
b10902048,strong1,3,0,6403.0,3595.0,2
b10902048,strong2,1,0,4940.0,5059,0
b10902048,strong3,1,3,5045,4955,2
b10902048,strong4,1,0,4420.0,5570.07953762963,0
b10902048,strong5,2,0,4664.0,5334.0,0
b10902061,baseline1,3,0,3849.662071466667,2148.6636736,5
b10902061,baseline2,3,0,5338.276791692956,4658.436221255248,5
b10902061,baseline3,2,0,4596.919512014692,5391.165317498042,3.0
b10902061,baseline4,0,0,4773.419468468441,5208.450205122262,0.0
b10902061,baseline5,2,0,4746.237192415544,5244.497700335758,3.0
b10902061,baseline6,2,0,5179.011452100813,4811.032749395775,3.0
b10902061,baseline7,2,0,4934.36001481383,5055.0,3.0
b10902061,strong1,0,0,3885.0,6110,0
b10902061,strong2,2,0,5731.095725898916,4248.618385007034,0
b10902061,strong3,3,0,3402.144030530782,4590.0,2
b10902061,strong4,3,0,3098.1881551270294,2887.651189919514,2
b10902061,strong5,0,0,3880.0,6094,0
b11902072,baseline1,1,0,3672.24,6326.49,1.5
b11902072,baseline2,2,0,5980.0,4019.25,3.0
b11902072,baseline3,0,0,3675,6324.5,0.0
b11902072,baseline4,1,0,5088.0,4902.152325112161,1.5
b11902072,baseline5,0,0,3705.0,6294.990669094221,0.0
b11902072,baseline6,2,0,4913.48,5085.013333333334,3.0
b11902072,baseline7,1,0,4724.0,5275.0,1.5
b11902072,strong1,2,2,4995,5005,0
b11902072,strong2,1,0,4838.0,5160,0
b11902072,strong3,1,3,4120.0,5880.0,0
b11902072,strong4,1,0,4763.0,5231.194291666667,0
b11902072,strong5,0,0,1980.0,8019.151,0
b09701248,baseline1,3,0,5987.849721809373,0,5
b09701248,baseline2,3,0,6555.174470039626,3435.6327899404687,5
b09701248,baseline3,2,0,5110.086101137465,4873.74465129455,3.0
b09701248,baseline4,0,0,1854.0501970860619,8120.645236114128,0.0
b09701248,baseline5,1,0,5270.805722784638,4713.398690039123,1.5
b09701248,baseline6,1,0,3684.5374547226193,6297.962564730514,1.5
b09701248,baseline7,1,0,4949.535305654255,5037.0,1.5
b09701248,strong1,0,0,3705.826368616431,6280.39792254,0
b09701248,strong2,1,0,5665.220729419994,4320.704695735394,0
b09701248,strong3,3,0,3769.381513148618,4222.876334959999,2
b09701248,strong4,2,0,4933.791914022086,5047.159957472329,0
b09701248,strong5,0,0,4322.129654703789,5659.54,0
b12901024,baseline1,3,0,6000,0,5
b12901024,baseline2,2,0,5565,4434.25,3.0
b12901024,baseline3,1,0,5127.0,4872.5,1.5
b12901024,baseline4,2,0,5667,4326.16,3.0
b12901024,baseline5,3,0,5998.406008192993,0,5
b12901024,baseline6,1,0,5365.0,4635.0,1.5
b12901024,baseline7,0,0,4695,5305,0.0
b12901024,strong1,1,2,4995,5005,0
b12901024,strong2,1,0,5482,4518,0
b12901024,strong3,3,0,5075,925,2
b12901024,strong4,1,0,4767,5225.346666666667,0
b12901024,strong5,0,0,3880,6117.667258333333,0
b11902069,baseline1,1,0,2982.5,7017.5,1.5
b11902069,baseline2,3,0,6500.5,3497.8125,5
b11902069,baseline3,1,0,3499.8125,6498.0625,1.5
b11902069,baseline4,1,0,3403.0,6590.65560557501,1.5
b11902069,baseline5,0,0,3814.15248065544,6185.15248065544,0.0
b11902069,baseline6,1,0,3685,6314.333333333334,1.5
b11902069,baseline7,2,0,5733,4267,3.0
b11902069,strong1,2,1,4944,5056,0
b11902069,strong2,0,0,3895,6105,0
b11902069,strong3,3,0,4000,6000,2
b11902069,strong4,2,0,4943.0,5045.936345833334,0
b11902069,strong5,0,0,4805,5195,0
b10902079,baseline1,2,0,5503,4496.25,3.0
b10902079,baseline2,3,0,5143.5,856.25,5
b10902079,baseline3,1,0,4889.375,5107.4375,1.5
b10902079,baseline4,2,0,5332.0,4660.867747035573,3.0
b10902079,baseline5,0,0,4680,5320,0.0
b10902079,baseline6,0,0,4604.4,5394.533333333333,0.0
b10902079,baseline7,1,0,5756,4244,1.5
b10902079,strong1,1,1,4515,5485,0
b10902079,strong2,1,0,5810,4190,0
b10902079,strong3,2,3,5860,4140,0
b10902079,strong4,1,0,4799.753333333333,5190.459111111111,0
b10902079,strong5,1,0,5720,4278.9284,0
b10902044,baseline1,3,0,3447.0,2551.625,5
b10902044,baseline2,3,0,3322.5,2676.25,5
b10902044,baseline3,3,0,3153.0,2847.0,5
b10902044,baseline4,3,0,5417.0,4578.950432080568,5
b10902044,baseline5,2,0,4949,5051,3.0
b10902044,baseline6,3,0,4668.333333333333,3330.3333333333335,5
b10902044,baseline7,2,0,4382,5618,3.0
b10902044,strong1,3,0,4055,1945,2
b10902044,strong2,3,0,5673.0,4327.0,2
b10902044,strong3,3,0,3325,6675,2
b10902044,strong4,1,0,1628.9266666666667,8362.665777777778,0
b10902044,strong5,1,0,3472,6528,0
b10902125,baseline1,1,0,2217.5,7777.5,1.5
b10902125,baseline2,1,0,2619.0,7379.0,1.5
b10902125,baseline3,1,0,2307.5891606340915,7662.521730513061,1.5
b10902125,baseline4,0,0,2598.0004611896165,7384.861716426927,0.0
b10902125,baseline5,1,0,2988.9375,6984.24071149592,1.5
b10902125,baseline6,0,0,440.0,9550.125,0.0
b10902125,baseline7,3,0,5996.03125,2000,5
b10902125,strong1,3,0,3161.015209644385,2835,2
b10902125,strong2,0,0,1421.0,8544.263671875,0
b10902125,strong3,2,0,2443.001953125,7554.0,0
b10902125,strong4,3,0,4445.007388136316,5533.100145053052,2
b10902125,strong5,1,0,3322.0,6649.1328125,0
b10902005,baseline1,3,0,3389.6282707388245,2607.3065181177944,5
b10902005,baseline2,2,0,3316.2327466247034,6674.775979845535,3.0
b10902005,baseline3,3,0,3707.3517797762684,4287.436514671801,5
b10902005,baseline4,2,0,4173.665015864049,5804.730894211142,3.0
b10902005,baseline5,1,0,4721.72088051249,5264.67297036401,1.5
b10902005,baseline6,3,0,4865.724068050882,3126.7414340374357,5
b10902005,baseline7,3,0,6158.634411081235,3834.0,5
b10902005,strong1,3,0,4008.6017216899504,1985,2
b10902005,strong2,2,0,4844.284833662978,5133.930903396251,0
b10902005,strong3,3,0,3128.975248440588,2867.1244270214183,2
b10902005,strong4,3,0,3096.88868120281,2886.2331167098737,2
b10902005,strong5,1,0,2240.0,7755.0,0
b10902089,baseline1,3,0,5420,4579.25,5
b10902089,baseline2,3,0,5410,4590,5
b10902089,baseline3,3,0,5094,904.4375,5
b10902089,baseline4,2,0,3620,6370.99,3.0
b10902089,baseline5,2,0,4750,5250,3.0
b10902089,baseline6,3,0,4999,5001.0,5
b10902089,baseline7,3,0,5830,170,5
b10902089,strong1,2,0,4100,5900,0
b10902089,strong2,3,0,5345,2655,2
b10902089,strong3,3,0,3900,2100,2
b10902089,strong4,3,0,4032,3951.4159166666664,2
b10902089,strong5,1,0,2040,7960,0
b12902098,baseline1,3,0,5108,886.25,5
b12902098,baseline2,3,0,4999.5625,995,5
b12902098,baseline3,3,0,4020,3979.25,5
b12902098,baseline4,2,0,4000,6000.0,3.0
b12902098,baseline5,2,0,5045,4955.0,3.0
b12902098,baseline6,3,0,6162.0,3830.555555555555,5
b12902098,baseline7,2,0,4290,5710,3.0
b12902098,strong1,3,0,6000,0,2
b12902098,strong2,3,0,7085,2915,2
b12902098,strong3,3,0,3435,4565,2
