name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
name: baseline1, hole_card: ['HA', 'H6']
name: t12902103, hole_card: ['SJ', 'D9']
community cards of this round: ['HQ', 'HJ', 'S4', 'H9', 'SJ']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
name: baseline1, hole_card: ['DA', 'C4']
name: t12902103, hole_card: ['HT', 'CA']
community cards of this round: ['HJ', 'S6', 'H3', 'C9', 'S2']
name: baseline1, hole_card: ['C4', 'H2']
name: t12902103, hole_card: ['SK', 'D5']
name: baseline1, hole_card: ['C4', 'H2']
name: t12902103, hole_card: ['SK', 'D5']
name: baseline1, hole_card: ['C4', 'H2']
name: t12902103, hole_card: ['SK', 'D5']
name: baseline1, hole_card: ['C4', 'H2']
name: t12902103, hole_card: ['SK', 'D5']
name: baseline1, hole_card: ['C4', 'H2']
name: t12902103, hole_card: ['SK', 'D5']
name: baseline1, hole_card: ['C4', 'H2']
name: t12902103, hole_card: ['SK', 'D5']
name: baseline1, hole_card: ['C4', 'H2']
name: t12902103, hole_card: ['SK', 'D5']
community cards of this round: ['H3', 'HJ', 'H2', 'D4', 'D5']
name: baseline1, hole_card: ['D6', 'CJ']
name: t12902103, hole_card: ['C2', 'H9']
name: baseline1, hole_card: ['D6', 'CJ']
name: t12902103, hole_card: ['C2', 'H9']
name: baseline1, hole_card: ['D6', 'CJ']
name: t12902103, hole_card: ['C2', 'H9']
t12902103 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'azwhirggvoxksyqzbigqzn', 'stack': 376.0, 'state': 'participating'}, {'name': 't12902103', 'uuid': 'jpufrrhgfxdencjvjwafjg', 'stack': 1620.59375, 'state': 'participating'}]}
community cards of this round: ['H8', 'D2', 'CK', 'H3', 'C4']
name: t12902103, hole_card: ['HQ', 'H6']
name: baseline1, hole_card: ['DQ', 'HK']
name: t12902103, hole_card: ['HQ', 'H6']
name: baseline1, hole_card: ['DQ', 'HK']
name: t12902103, hole_card: ['HQ', 'H6']
name: baseline1, hole_card: ['DQ', 'HK']
name: t12902103, hole_card: ['HQ', 'H6']
name: baseline1, hole_card: ['DQ', 'HK']
name: t12902103, hole_card: ['HQ', 'H6']
name: baseline1, hole_card: ['DQ', 'HK']
community cards of this round: ['S6', 'C2', 'H6', 'SA', 'HJ']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
name: t12902103, hole_card: ['HQ', 'CQ']
name: baseline1, hole_card: ['H2', 'S5']
community cards of this round: ['D5', 'S6', 'S9', 'SQ', 'S5']
name: t12902103, hole_card: ['DK', 'H8']
name: baseline1, hole_card: ['C8', 'HQ']
name: t12902103, hole_card: ['DK', 'H8']
name: baseline1, hole_card: ['C8', 'HQ']
name: t12902103, hole_card: ['DK', 'H8']
name: baseline1, hole_card: ['C8', 'HQ']
name: t12902103, hole_card: ['DK', 'H8']
name: baseline1, hole_card: ['C8', 'HQ']
name: t12902103, hole_card: ['DK', 'H8']
name: baseline1, hole_card: ['C8', 'HQ']
