community cards of this round: ['C6', 'C2', 'DQ', 'D5', 'H9']
name: baseline1, hole_card: ['HK', 'H5']
name: b10505029, hole_card: ['S3', 'S8']
name: baseline1, hole_card: ['HK', 'H5']
name: b10505029, hole_card: ['S3', 'S8']
name: baseline1, hole_card: ['HK', 'H5']
name: b10505029, hole_card: ['S3', 'S8']
name: baseline1, hole_card: ['HK', 'H5']
name: b10505029, hole_card: ['S3', 'S8']
community cards of this round: ['S3', 'HQ', 'CT', 'C8', 'SA']
name: baseline1, hole_card: ['DT', 'H7']
name: b10505029, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DT', 'H7']
name: b10505029, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DT', 'H7']
name: b10505029, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DT', 'H7']
name: b10505029, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DT', 'H7']
name: b10505029, hole_card: ['C5', 'S9']
name: baseline1, hole_card: ['DT', 'H7']
name: b10505029, hole_card: ['C5', 'S9']
community cards of this round: ['H8', 'CT', 'HT', 'SQ', 'H4']
name: baseline1, hole_card: ['D3', 'C4']
name: b10505029, hole_card: ['CQ', 'C9']
name: baseline1, hole_card: ['D3', 'C4']
name: b10505029, hole_card: ['CQ', 'C9']
name: baseline1, hole_card: ['D3', 'C4']
name: b10505029, hole_card: ['CQ', 'C9']
name: baseline1, hole_card: ['D3', 'C4']
name: b10505029, hole_card: ['CQ', 'C9']
name: baseline1, hole_card: ['D3', 'C4']
name: b10505029, hole_card: ['CQ', 'C9']
community cards of this round: ['DK', 'C5', 'S3', 'C6', 'CJ']
name: baseline1, hole_card: ['H7', 'H2']
name: b10505029, hole_card: ['S7', 'D7']
name: baseline1, hole_card: ['H7', 'H2']
name: b10505029, hole_card: ['S7', 'D7']
name: baseline1, hole_card: ['H7', 'H2']
name: b10505029, hole_card: ['S7', 'D7']
name: baseline1, hole_card: ['H7', 'H2']
name: b10505029, hole_card: ['S7', 'D7']
name: baseline1, hole_card: ['H7', 'H2']
name: b10505029, hole_card: ['S7', 'D7']
community cards of this round: ['D5', 'S6', 'H7', 'HQ', 'D6']
name: baseline1, hole_card: ['C8', 'H3']
name: b10505029, hole_card: ['HA', 'CT']
name: baseline1, hole_card: ['C8', 'H3']
name: b10505029, hole_card: ['HA', 'CT']
name: baseline1, hole_card: ['C8', 'H3']
name: b10505029, hole_card: ['HA', 'CT']
name: baseline1, hole_card: ['C8', 'H3']
name: b10505029, hole_card: ['HA', 'CT']
name: baseline1, hole_card: ['C8', 'H3']
name: b10505029, hole_card: ['HA', 'CT']
name: baseline1, hole_card: ['C8', 'H3']
name: b10505029, hole_card: ['HA', 'CT']
name: baseline1, hole_card: ['C8', 'H3']
name: b10505029, hole_card: ['HA', 'CT']
community cards of this round: ['H4', 'D3', 'S2', 'H6', 'CQ']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
name: baseline1, hole_card: ['SQ', 'D7']
name: b10505029, hole_card: ['HT', 'SK']
community cards of this round: ['CT', 'S8', 'C4', 'S5', 'SJ']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
name: baseline1, hole_card: ['HA', 'CK']
name: b10505029, hole_card: ['H3', 'H8']
community cards of this round: ['D4', 'S2', 'C8', 'DA', 'CT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
name: baseline1, hole_card: ['H8', 'H5']
name: b10505029, hole_card: ['H4', 'HT']
community cards of this round: ['D6', 'S7', 'S3', 'C2', 'D8']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
name: baseline1, hole_card: ['CQ', 'H7']
name: b10505029, hole_card: ['C3', 'HA']
community cards of this round: ['SA', 'S7', 'CK', 'DA', 'SQ']
name: baseline1, hole_card: ['C2', 'H6']
name: b10505029, hole_card: ['D2', 'HA']
name: baseline1, hole_card: ['C2', 'H6']
name: b10505029, hole_card: ['D2', 'HA']
name: baseline1, hole_card: ['C2', 'H6']
name: b10505029, hole_card: ['D2', 'HA']
name: baseline1, hole_card: ['C2', 'H6']
name: b10505029, hole_card: ['D2', 'HA']
name: baseline1, hole_card: ['C2', 'H6']
name: b10505029, hole_card: ['D2', 'HA']
b10505029 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'oihgtodnlhtkckjxwawwwh', 'stack': 1193.1171875, 'state': 'participating'}, {'name': 'b10505029', 'uuid': 'xdyucceorwqwizdkcjwaca', 'stack': 805, 'state': 'participating'}]}
community cards of this round: ['HJ', 'ST', 'D6', 'DJ', 'SJ']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
name: b10505029, hole_card: ['S6', 'HT']
name: baseline1, hole_card: ['SK', 'H3']
community cards of this round: ['H3', 'H9', 'CQ', 'DQ', 'C4']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
name: b10505029, hole_card: ['DT', 'ST']
name: baseline1, hole_card: ['CA', 'HJ']
community cards of this round: ['S9', 'S8', 'C6', 'S5', 'C4']
name: b10505029, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['S2', 'S6']
name: b10505029, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['S2', 'S6']
