community cards of this round: ['S2', 'D8', 'DT', 'DJ', 'CK']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
name: baseline1, hole_card: ['C7', 'HK']
name: b10902071, hole_card: ['SQ', 'H2']
community cards of this round: ['H9', 'D2', 'CQ', 'S2', 'D8']
name: baseline1, hole_card: ['ST', 'C8']
name: b10902071, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['ST', 'C8']
name: b10902071, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['ST', 'C8']
name: b10902071, hole_card: ['SK', 'S5']
name: baseline1, hole_card: ['ST', 'C8']
name: b10902071, hole_card: ['SK', 'S5']
community cards of this round: ['D5', 'S4', 'H2', 'DA', 'HA']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
name: baseline1, hole_card: ['C5', 'DJ']
name: b10902071, hole_card: ['C4', 'S9']
community cards of this round: ['D2', 'DQ', 'D7', 'DT', 'H7']
name: baseline1, hole_card: ['H2', 'H5']
name: b10902071, hole_card: ['S8', 'H3']
name: baseline1, hole_card: ['H2', 'H5']
name: b10902071, hole_card: ['S8', 'H3']
name: baseline1, hole_card: ['H2', 'H5']
name: b10902071, hole_card: ['S8', 'H3']
name: baseline1, hole_card: ['H2', 'H5']
name: b10902071, hole_card: ['S8', 'H3']
community cards of this round: ['D9', 'C9', 'S8', 'CA', 'D6']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902071, hole_card: ['H2', 'SA']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902071, hole_card: ['H2', 'SA']
name: baseline1, hole_card: ['HK', 'HT']
name: b10902071, hole_card: ['H2', 'SA']
name: baseline1, hole_card: ['HK', 'HT']
