name: b09901028, hole_card: ['C9', 'DT']
community cards of this round: ['HA', 'H5', 'D6', 'D5', 'C3']
name: baseline1, hole_card: ['SJ', 'D3']
name: b09901028, hole_card: ['S2', 'C6']
name: baseline1, hole_card: ['SJ', 'D3']
name: b09901028, hole_card: ['S2', 'C6']
name: baseline1, hole_card: ['SJ', 'D3']
name: b09901028, hole_card: ['S2', 'C6']
community cards of this round: ['S2', 'DA', 'DQ', 'D9', 'CK']
name: baseline1, hole_card: ['H8', 'CQ']
name: b09901028, hole_card: ['ST', 'C3']
name: baseline1, hole_card: ['H8', 'CQ']
name: b09901028, hole_card: ['ST', 'C3']
community cards of this round: ['HA', 'D7', 'S9', 'H6', 'S3']
name: baseline1, hole_card: ['S6', 'HQ']
name: b09901028, hole_card: ['S5', 'SA']
name: baseline1, hole_card: ['S6', 'HQ']
name: b09901028, hole_card: ['S5', 'SA']
name: baseline1, hole_card: ['S6', 'HQ']
name: b09901028, hole_card: ['S5', 'SA']
community cards of this round: ['CQ', 'C4', 'SA', 'DA', 'S7']
name: baseline1, hole_card: ['HQ', 'C2']
name: b09901028, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['HQ', 'C2']
name: b09901028, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['HQ', 'C2']
name: b09901028, hole_card: ['H8', 'DQ']
name: baseline1, hole_card: ['HQ', 'C2']
name: b09901028, hole_card: ['H8', 'DQ']
community cards of this round: ['DA', 'C7', 'CK', 'HK', 'S6']
name: baseline1, hole_card: ['H2', 'H3']
name: b09901028, hole_card: ['D5', 'ST']
name: baseline1, hole_card: ['H2', 'H3']
name: b09901028, hole_card: ['D5', 'ST']
name: baseline1, hole_card: ['H2', 'H3']
name: b09901028, hole_card: ['D5', 'ST']
community cards of this round: ['C7', 'D7', 'C9', 'H4', 'SJ']
name: baseline1, hole_card: ['SA', 'D3']
name: b09901028, hole_card: ['H2', 'H5']
name: baseline1, hole_card: ['SA', 'D3']
name: b09901028, hole_card: ['H2', 'H5']
community cards of this round: ['S5', 'H8', 'S8', 'D8', 'HT']
name: baseline1, hole_card: ['DJ', 'CJ']
name: b09901028, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['DJ', 'CJ']
name: b09901028, hole_card: ['D4', 'HJ']
name: baseline1, hole_card: ['DJ', 'CJ']
name: b09901028, hole_card: ['D4', 'HJ']
community cards of this round: ['S9', 'H7', 'D9', 'CJ', 'DT']
name: baseline1, hole_card: ['C2', 'HK']
name: b09901028, hole_card: ['HA', 'DQ']
name: baseline1, hole_card: ['C2', 'HK']
name: b09901028, hole_card: ['HA', 'DQ']
community cards of this round: ['HK', 'D3', 'D5', 'SQ', 'SJ']
name: baseline1, hole_card: ['H4', 'H7']
name: b09901028, hole_card: ['D6', 'C2']
name: baseline1, hole_card: ['H4', 'H7']
name: b09901028, hole_card: ['D6', 'C2']
name: baseline1, hole_card: ['H4', 'H7']
name: b09901028, hole_card: ['D6', 'C2']
b09901028 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'fehikvkigeshaogpfpbkjb', 'stack': 1995, 'state': 'participating'}, {'name': 'b09901028', 'uuid': 'cgikuiqrdbivyseqoujqzu', 'stack': 5, 'state': 'participating'}]}
community cards of this round: ['HT', 'D9', 'H5', 'S9', 'ST']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
name: b09901028, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['C6', 'CQ']
community cards of this round: ['DJ', 'D5', 'D3', 'CA', 'C2']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
name: b09901028, hole_card: ['D4', 'DQ']
name: baseline1, hole_card: ['C4', 'C3']
