community cards of this round: ['C4', 'SJ', 'H9', 'S9', 'HJ']
name: baseline1, hole_card: ['C7', 'S8']
name: b10902063, hole_card: ['S4', 'H3']
name: baseline1, hole_card: ['C7', 'S8']
name: b10902063, hole_card: ['S4', 'H3']
name: baseline1, hole_card: ['C7', 'S8']
name: b10902063, hole_card: ['S4', 'H3']
community cards of this round: ['SJ', 'H3', 'H4', 'SK', 'C6']
name: baseline1, hole_card: ['D7', 'S4']
name: b10902063, hole_card: ['D8', 'CJ']
name: baseline1, hole_card: ['D7', 'S4']
name: b10902063, hole_card: ['D8', 'CJ']
community cards of this round: ['H6', 'C2', 'HT', 'H7', 'HA']
name: baseline1, hole_card: ['H2', 'H9']
name: b10902063, hole_card: ['CQ', 'DJ']
name: baseline1, hole_card: ['H2', 'H9']
name: b10902063, hole_card: ['CQ', 'DJ']
name: baseline1, hole_card: ['H2', 'H9']
name: b10902063, hole_card: ['CQ', 'DJ']
community cards of this round: ['H4', 'SA', 'H6', 'C3', 'S9']
name: baseline1, hole_card: ['D6', 'DA']
name: b10902063, hole_card: ['H7', 'SQ']
name: baseline1, hole_card: ['D6', 'DA']
name: b10902063, hole_card: ['H7', 'SQ']
community cards of this round: ['D3', 'D5', 'CK', 'HA', 'H2']
name: baseline1, hole_card: ['S3', 'DT']
name: b10902063, hole_card: ['SQ', 'C6']
name: baseline1, hole_card: ['S3', 'DT']
name: b10902063, hole_card: ['SQ', 'C6']
name: baseline1, hole_card: ['S3', 'DT']
name: b10902063, hole_card: ['SQ', 'C6']
community cards of this round: ['H3', 'HT', 'D6', 'S8', 'CQ']
name: baseline1, hole_card: ['H4', 'H2']
name: b10902063, hole_card: ['DK', 'SA']
name: baseline1, hole_card: ['H4', 'H2']
name: b10902063, hole_card: ['DK', 'SA']
community cards of this round: ['CT', 'DQ', 'DT', 'CQ', 'S6']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902063, hole_card: ['HK', 'H9']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902063, hole_card: ['HK', 'H9']
name: baseline1, hole_card: ['CA', 'D4']
name: b10902063, hole_card: ['HK', 'H9']
community cards of this round: ['C6', 'DT', 'HK', 'CK', 'DK']
name: baseline1, hole_card: ['H7', 'SQ']
name: b10902063, hole_card: ['D4', 'S5']
name: baseline1, hole_card: ['H7', 'SQ']
name: b10902063, hole_card: ['D4', 'S5']
community cards of this round: ['H3', 'H8', 'CK', 'D7', 'S5']
name: baseline1, hole_card: ['D6', 'C5']
name: b10902063, hole_card: ['HT', 'S6']
name: baseline1, hole_card: ['D6', 'C5']
name: b10902063, hole_card: ['HT', 'S6']
name: baseline1, hole_card: ['D6', 'C5']
name: b10902063, hole_card: ['HT', 'S6']
community cards of this round: ['H2', 'H8', 'DJ', 'D4', 'C6']
name: baseline1, hole_card: ['HJ', 'DQ']
name: b10902063, hole_card: ['H3', 'CJ']
name: baseline1, hole_card: ['HJ', 'DQ']
name: b10902063, hole_card: ['H3', 'CJ']
community cards of this round: ['HA', 'S3', 'HQ', 'DJ', 'D4']
name: baseline1, hole_card: ['HT', 'D6']
name: b10902063, hole_card: ['D7', 'C4']
name: baseline1, hole_card: ['HT', 'D6']
