name: b10902109, hole_card: ['HJ', 'C9']
name: baseline2, hole_card: ['H8', 'C2']
name: b10902109, hole_card: ['HJ', 'C9']
name: baseline2, hole_card: ['H8', 'C2']
community cards of this round: ['DQ', 'C9', 'S9', 'SJ', 'H7']
name: b10902109, hole_card: ['H6', 'C2']
name: baseline2, hole_card: ['CJ', 'S4']
name: b10902109, hole_card: ['H6', 'C2']
name: baseline2, hole_card: ['CJ', 'S4']
name: b10902109, hole_card: ['H6', 'C2']
name: baseline2, hole_card: ['CJ', 'S4']
community cards of this round: ['DJ', 'H2', 'H6', 'S2', 'C2']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
name: b10902109, hole_card: ['HQ', 'SA']
name: baseline2, hole_card: ['CT', 'S8']
community cards of this round: ['DJ', 'C7', 'CT', 'C2', 'C4']
name: b10902109, hole_card: ['C5', 'S3']
name: baseline2, hole_card: ['D6', 'H6']
name: b10902109, hole_card: ['C5', 'S3']
name: baseline2, hole_card: ['D6', 'H6']
name: b10902109, hole_card: ['C5', 'S3']
name: baseline2, hole_card: ['D6', 'H6']
community cards of this round: ['D4', 'SK', 'H7', 'S6', 'H3']
name: b10902109, hole_card: ['S2', 'HK']
name: baseline2, hole_card: ['H8', 'D8']
name: b10902109, hole_card: ['S2', 'HK']
name: baseline2, hole_card: ['H8', 'D8']
community cards of this round: ['C4', 'SQ', 'CT', 'CK', 'DT']
name: b10902109, hole_card: ['HA', 'D8']
name: baseline2, hole_card: ['DJ', 'HK']
name: b10902109, hole_card: ['HA', 'D8']
name: baseline2, hole_card: ['DJ', 'HK']
name: b10902109, hole_card: ['HA', 'D8']
name: baseline2, hole_card: ['DJ', 'HK']
community cards of this round: ['H7', 'SQ', 'SK', 'DA', 'C4']
name: b10902109, hole_card: ['CK', 'CJ']
name: baseline2, hole_card: ['S4', 'D5']
