name: b10902087, hole_card: ['SK', 'CQ']
name: baseline1, hole_card: ['S3', 'D5']
community cards of this round: ['C2', 'C9', 'C7', 'D9', 'S3']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
name: b10902087, hole_card: ['SA', 'CQ']
name: baseline1, hole_card: ['CK', 'DT']
community cards of this round: ['H5', 'CA', 'C6', 'S7', 'D6']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
name: b10902087, hole_card: ['H3', 'S5']
name: baseline1, hole_card: ['H7', 'SA']
b10902087 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902087', 'uuid': 'upvjjakkhbxmpnbgwsbhyp', 'stack': 0, 'state': 'folded'}, {'name': 'baseline1', 'uuid': 'gtegptgwxpzqdztlrxwsib', 'stack': 2000.0, 'state': 'participating'}]}
community cards of this round: ['H8', 'CJ', 'H5', 'C8', 'H4']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
name: baseline1, hole_card: ['H7', 'D6']
name: b10902087, hole_card: ['C4', 'HA']
community cards of this round: ['H6', 'C9', 'DA', 'S7', 'HA']
name: baseline1, hole_card: ['D2', 'S6']
name: b10902087, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['D2', 'S6']
name: b10902087, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['D2', 'S6']
name: b10902087, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['D2', 'S6']
name: b10902087, hole_card: ['C5', 'D4']
name: baseline1, hole_card: ['D2', 'S6']
name: b10902087, hole_card: ['C5', 'D4']
community cards of this round: ['D4', 'S2', 'DQ', 'DT', 'S9']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b10902087, hole_card: ['D2', 'ST']
community cards of this round: ['CQ', 'SA', 'DA', 'CK', 'CJ']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
name: baseline1, hole_card: ['DQ', 'C6']
name: b10902087, hole_card: ['D3', 'H3']
community cards of this round: ['H9', 'D3', 'H7', 'D7', 'HT']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902087, hole_card: ['CQ', 'D6']
name: baseline1, hole_card: ['HK', 'S4']
name: b10902087, hole_card: ['CQ', 'D6']
community cards of this round: ['D3', 'DJ', 'C5', 'CJ', 'D8']
name: baseline1, hole_card: ['CA', 'SA']
name: b10902087, hole_card: ['S7', 'H6']
name: baseline1, hole_card: ['CA', 'SA']
name: b10902087, hole_card: ['S7', 'H6']
name: baseline1, hole_card: ['CA', 'SA']
name: b10902087, hole_card: ['S7', 'H6']
name: baseline1, hole_card: ['CA', 'SA']
name: b10902087, hole_card: ['S7', 'H6']
name: baseline1, hole_card: ['CA', 'SA']
name: b10902087, hole_card: ['S7', 'H6']
b10902087 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'gyufxshtqqfzegdlkfinda', 'stack': 1998.6875, 'state': 'participating'}, {'name': 'b10902087', 'uuid': 'jczzmllwhkvodeqabqkwdj', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['H8', 'CJ', 'H5', 'C8', 'H4']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
name: b10902087, hole_card: ['H7', 'D6']
name: baseline1, hole_card: ['C4', 'HA']
community cards of this round: ['H6', 'C9', 'DA', 'S7', 'HA']
name: b10902087, hole_card: ['D2', 'S6']
name: baseline1, hole_card: ['C5', 'D4']
name: b10902087, hole_card: ['D2', 'S6']
name: baseline1, hole_card: ['C5', 'D4']
community cards of this round: ['D4', 'S2', 'DQ', 'DT', 'S9']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
name: b10902087, hole_card: ['CJ', 'CT']
name: baseline1, hole_card: ['D2', 'ST']
community cards of this round: ['CQ', 'SA', 'DA', 'CK', 'CJ']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
name: b10902087, hole_card: ['DQ', 'C6']
name: baseline1, hole_card: ['D3', 'H3']
community cards of this round: ['H9', 'D3', 'H7', 'D7', 'HT']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
name: b10902087, hole_card: ['HK', 'S4']
name: baseline1, hole_card: ['CQ', 'D6']
community cards of this round: ['D3', 'DJ', 'C5', 'CJ', 'D8']
name: b10902087, hole_card: ['CA', 'SA']
name: baseline1, hole_card: ['S7', 'H6']
name: b10902087, hole_card: ['CA', 'SA']
name: baseline1, hole_card: ['S7', 'H6']
name: b10902087, hole_card: ['CA', 'SA']
name: baseline1, hole_card: ['S7', 'H6']
b10902087 vs baseline1 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902087', 'uuid': 'nektkhnurjtvnjptujfbjt', 'stack': 1999, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'lctcnqgpddslyhlfbkgotf', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['S4', 'S5', 'CJ', 'C5', 'D9']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902087, hole_card: ['C2', 'H2']
community cards of this round: ['S4', 'D8', 'HJ', 'HT', 'SA']
