name: baseline1, hole_card: ['C9', 'D8']
community cards of this round: ['CQ', 'D7', 'SA', 'C5', 'D5']
name: b10902014, hole_card: ['D2', 'C4']
name: baseline1, hole_card: ['CA', 'C6']
name: b10902014, hole_card: ['D2', 'C4']
name: baseline1, hole_card: ['CA', 'C6']
community cards of this round: ['D3', 'DJ', 'C7', 'DT', 'H7']
name: b10902014, hole_card: ['HJ', 'H2']
name: baseline1, hole_card: ['HA', 'C8']
name: b10902014, hole_card: ['HJ', 'H2']
name: baseline1, hole_card: ['HA', 'C8']
name: b10902014, hole_card: ['HJ', 'H2']
name: baseline1, hole_card: ['HA', 'C8']
community cards of this round: ['H4', 'H5', 'S7', 'HK', 'S3']
name: b10902014, hole_card: ['C4', 'H8']
name: baseline1, hole_card: ['D2', 'H7']
name: b10902014, hole_card: ['C4', 'H8']
name: baseline1, hole_card: ['D2', 'H7']
community cards of this round: ['CA', 'H4', 'CT', 'D5', 'H7']
name: b10902014, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902014, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['C6', 'C4']
name: b10902014, hole_card: ['SK', 'CK']
name: baseline1, hole_card: ['C6', 'C4']
community cards of this round: ['SQ', 'ST', 'DJ', 'D6', 'S7']
name: b10902014, hole_card: ['HJ', 'H6']
name: baseline1, hole_card: ['CA', 'S4']
name: b10902014, hole_card: ['HJ', 'H6']
name: baseline1, hole_card: ['CA', 'S4']
community cards of this round: ['D6', 'H8', 'H6', 'DQ', 'SA']
name: b10902014, hole_card: ['HA', 'D7']
name: baseline1, hole_card: ['HT', 'H9']
name: b10902014, hole_card: ['HA', 'D7']
name: baseline1, hole_card: ['HT', 'H9']
name: b10902014, hole_card: ['HA', 'D7']
name: baseline1, hole_card: ['HT', 'H9']
community cards of this round: ['CQ', 'H2', 'S6', 'H5', 'S7']
name: b10902014, hole_card: ['D2', 'S5']
name: baseline1, hole_card: ['CK', 'HK']
name: b10902014, hole_card: ['D2', 'S5']
name: baseline1, hole_card: ['CK', 'HK']
b10902014 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902014', 'uuid': 'aqasuyyfagyywndjimkszc', 'stack': 1121, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'uubqfwlgummexwkzvwrxpd', 'stack': 878.75, 'state': 'participating'}]}
community cards of this round: ['HT', 'DQ', 'S7', 'HK', 'D8']
name: baseline1, hole_card: ['CJ', 'DA']
name: b10902014, hole_card: ['C3', 'C4']
name: baseline1, hole_card: ['CJ', 'DA']
name: b10902014, hole_card: ['C3', 'C4']
community cards of this round: ['ST', 'HJ', 'H5', 'CK', 'C6']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
name: baseline1, hole_card: ['H4', 'S9']
name: b10902014, hole_card: ['H6', 'HK']
community cards of this round: ['CT', 'HQ', 'HT', 'H9', 'CQ']
name: baseline1, hole_card: ['D9', 'C6']
name: b10902014, hole_card: ['D4', 'SJ']
name: baseline1, hole_card: ['D9', 'C6']
name: b10902014, hole_card: ['D4', 'SJ']
community cards of this round: ['S3', 'D3', 'S4', 'D9', 'ST']
name: baseline1, hole_card: ['D6', 'DJ']
name: b10902014, hole_card: ['DT', 'CT']
name: baseline1, hole_card: ['D6', 'DJ']
name: b10902014, hole_card: ['DT', 'CT']
name: baseline1, hole_card: ['D6', 'DJ']
name: b10902014, hole_card: ['DT', 'CT']
community cards of this round: ['D4', 'C4', 'CJ', 'C2', 'H3']
name: baseline1, hole_card: ['HA', 'S3']
name: b10902014, hole_card: ['SQ', 'DJ']
name: baseline1, hole_card: ['HA', 'S3']
name: b10902014, hole_card: ['SQ', 'DJ']
community cards of this round: ['C3', 'SA', 'C2', 'S8', 'SJ']
name: baseline1, hole_card: ['C8', 'CK']
name: b10902014, hole_card: ['S7', 'HT']
name: baseline1, hole_card: ['C8', 'CK']
name: b10902014, hole_card: ['S7', 'HT']
name: baseline1, hole_card: ['C8', 'CK']
name: b10902014, hole_card: ['S7', 'HT']
community cards of this round: ['D4', 'HQ', 'C9', 'D2', 'SJ']
name: baseline1, hole_card: ['H3', 'DK']
name: b10902014, hole_card: ['S2', 'H5']
name: baseline1, hole_card: ['H3', 'DK']
name: b10902014, hole_card: ['S2', 'H5']
community cards of this round: ['D5', 'SK', 'C4', 'HQ', 'H5']
name: baseline1, hole_card: ['D6', 'S2']
name: b10902014, hole_card: ['DA', 'SA']
name: baseline1, hole_card: ['D6', 'S2']
name: b10902014, hole_card: ['DA', 'SA']
name: baseline1, hole_card: ['D6', 'S2']
name: b10902014, hole_card: ['DA', 'SA']
community cards of this round: ['DJ', 'H2', 'D7', 'C2', 'DT']
name: baseline1, hole_card: ['D8', 'S3']
name: b10902014, hole_card: ['H4', 'HA']
name: baseline1, hole_card: ['D8', 'S3']
name: b10902014, hole_card: ['H4', 'HA']
community cards of this round: ['H4', 'CT', 'S2', 'CA', 'S6']
name: baseline1, hole_card: ['C4', 'SK']
name: b10902014, hole_card: ['CJ', 'DK']
name: baseline1, hole_card: ['C4', 'SK']
name: b10902014, hole_card: ['CJ', 'DK']
name: baseline1, hole_card: ['C4', 'SK']
name: b10902014, hole_card: ['CJ', 'DK']
community cards of this round: ['H3', 'H7', 'S7', 'C4', 'DQ']
name: baseline1, hole_card: ['DT', 'SQ']
name: b10902014, hole_card: ['D5', 'C9']
name: baseline1, hole_card: ['DT', 'SQ']
name: b10902014, hole_card: ['D5', 'C9']
community cards of this round: ['D2', 'CT', 'DQ', 'HT', 'S8']
name: baseline1, hole_card: ['SK', 'D7']
name: b10902014, hole_card: ['H6', 'C7']
name: baseline1, hole_card: ['SK', 'D7']
name: b10902014, hole_card: ['H6', 'C7']
name: baseline1, hole_card: ['SK', 'D7']
name: b10902014, hole_card: ['H6', 'C7']
community cards of this round: ['C4', 'D3', 'D9', 'C2', 'H4']
name: baseline1, hole_card: ['D5', 'SK']
name: b10902014, hole_card: ['H3', 'S3']
name: baseline1, hole_card: ['D5', 'SK']
name: b10902014, hole_card: ['H3', 'S3']
