name: b11902114, hole_card: ['C4', 'H3']
community cards of this round: ['C8', 'D5', 'D8', 'S8', 'DJ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
name: baseline1, hole_card: ['S7', 'DT']
name: b11902114, hole_card: ['SQ', 'DQ']
community cards of this round: ['S3', 'HJ', 'H7', 'H5', 'C7']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
name: baseline1, hole_card: ['HK', 'C8']
name: b11902114, hole_card: ['SJ', 'ST']
community cards of this round: ['H4', 'S6', 'S8', 'C8', 'DA']
name: baseline1, hole_card: ['D2', 'S2']
name: b11902114, hole_card: ['D6', 'S7']
name: baseline1, hole_card: ['D2', 'S2']
name: b11902114, hole_card: ['D6', 'S7']
community cards of this round: ['H3', 'C3', 'H4', 'CQ', 'SA']
name: baseline1, hole_card: ['H8', 'DQ']
name: b11902114, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['H8', 'DQ']
name: b11902114, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['H8', 'DQ']
name: b11902114, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['H8', 'DQ']
name: b11902114, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['H8', 'DQ']
name: b11902114, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['H8', 'DQ']
name: b11902114, hole_card: ['HJ', 'H7']
name: baseline1, hole_card: ['H8', 'DQ']
name: b11902114, hole_card: ['HJ', 'H7']
community cards of this round: ['CA', 'D9', 'S6', 'HK', 'D8']
name: baseline1, hole_card: ['C8', 'S5']
name: b11902114, hole_card: ['C6', 'HA']
name: baseline1, hole_card: ['C8', 'S5']
name: b11902114, hole_card: ['C6', 'HA']
community cards of this round: ['ST', 'HT', 'D3', 'CK', 'H7']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
name: baseline1, hole_card: ['S6', 'C6']
name: b11902114, hole_card: ['C3', 'H3']
community cards of this round: ['CK', 'S6', 'HK', 'D9', 'ST']
name: baseline1, hole_card: ['HJ', 'SA']
name: b11902114, hole_card: ['DQ', 'SJ']
name: baseline1, hole_card: ['HJ', 'SA']
name: b11902114, hole_card: ['DQ', 'SJ']
community cards of this round: ['D3', 'D6', 'D5', 'C6', 'SJ']
name: baseline1, hole_card: ['HT', 'DT']
name: b11902114, hole_card: ['HK', 'H2']
name: baseline1, hole_card: ['HT', 'DT']
name: b11902114, hole_card: ['HK', 'H2']
name: baseline1, hole_card: ['HT', 'DT']
name: b11902114, hole_card: ['HK', 'H2']
community cards of this round: ['S3', 'CA', 'S4', 'C3', 'CK']
name: baseline1, hole_card: ['DK', 'H5']
name: b11902114, hole_card: ['ST', 'HK']
name: baseline1, hole_card: ['DK', 'H5']
name: b11902114, hole_card: ['ST', 'HK']
community cards of this round: ['S2', 'C8', 'SA', 'DJ', 'CA']
name: baseline1, hole_card: ['S9', 'HA']
name: b11902114, hole_card: ['DK', 'C3']
name: baseline1, hole_card: ['S9', 'HA']
name: b11902114, hole_card: ['DK', 'C3']
name: baseline1, hole_card: ['S9', 'HA']
name: b11902114, hole_card: ['DK', 'C3']
community cards of this round: ['S6', 'CT', 'HA', 'D4', 'S2']
name: baseline1, hole_card: ['D8', 'CJ']
name: b11902114, hole_card: ['H6', 'H9']
name: baseline1, hole_card: ['D8', 'CJ']
name: b11902114, hole_card: ['H6', 'H9']
community cards of this round: ['H7', 'C4', 'DJ', 'SJ', 'D3']
name: baseline1, hole_card: ['H2', 'HQ']
name: b11902114, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['H2', 'HQ']
name: b11902114, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['H2', 'HQ']
name: b11902114, hole_card: ['DQ', 'D7']
community cards of this round: ['ST', 'H7', 'D3', 'HA', 'C3']
name: baseline1, hole_card: ['D9', 'SQ']
name: b11902114, hole_card: ['HK', 'H8']
name: baseline1, hole_card: ['D9', 'SQ']
name: b11902114, hole_card: ['HK', 'H8']
community cards of this round: ['H9', 'H7', 'HT', 'H8', 'S5']
name: baseline1, hole_card: ['DJ', 'DT']
name: b11902114, hole_card: ['DK', 'C9']
name: baseline1, hole_card: ['DJ', 'DT']
name: b11902114, hole_card: ['DK', 'C9']
name: baseline1, hole_card: ['DJ', 'DT']
name: b11902114, hole_card: ['DK', 'C9']
community cards of this round: ['CA', 'H4', 'D9', 'DJ', 'H3']
name: baseline1, hole_card: ['S5', 'C7']
name: b11902114, hole_card: ['D5', 'SQ']
name: baseline1, hole_card: ['S5', 'C7']
name: b11902114, hole_card: ['D5', 'SQ']
community cards of this round: ['DK', 'SA', 'CQ', 'S3', 'S6']
name: baseline1, hole_card: ['CJ', 'CT']
name: b11902114, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b11902114, hole_card: ['D4', 'ST']
name: baseline1, hole_card: ['CJ', 'CT']
name: b11902114, hole_card: ['D4', 'ST']
community cards of this round: ['S8', 'HA', 'D5', 'DT', 'S3']
name: baseline1, hole_card: ['C9', 'C6']
name: b11902114, hole_card: ['H3', 'C3']
name: baseline1, hole_card: ['C9', 'C6']
name: b11902114, hole_card: ['H3', 'C3']
community cards of this round: ['C6', 'D5', 'CJ', 'S2', 'C4']
name: baseline1, hole_card: ['H2', 'H7']
name: b11902114, hole_card: ['C7', 'S6']
name: baseline1, hole_card: ['H2', 'H7']
name: b11902114, hole_card: ['C7', 'S6']
name: baseline1, hole_card: ['H2', 'H7']
name: b11902114, hole_card: ['C7', 'S6']
b11902114 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'nvgamjouhjqnhgcolybpsl', 'stack': 839.25, 'state': 'participating'}, {'name': 'b11902114', 'uuid': 'lwxivacpzfneerwruybmyw', 'stack': 1160, 'state': 'participating'}]}
community cards of this round: ['CJ', 'DQ', 'SA', 'S5', 'S4']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
name: b11902114, hole_card: ['S2', 'DK']
name: baseline1, hole_card: ['S7', 'S3']
community cards of this round: ['CQ', 'H2', 'SJ', 'HJ', 'D7']
name: b11902114, hole_card: ['H7', 'HQ']
name: baseline1, hole_card: ['C4', 'H3']
name: b11902114, hole_card: ['H7', 'HQ']
name: baseline1, hole_card: ['C4', 'H3']
community cards of this round: ['C8', 'D5', 'D8', 'S8', 'DJ']
name: b11902114, hole_card: ['S7', 'DT']
name: baseline1, hole_card: ['SQ', 'DQ']
name: b11902114, hole_card: ['S7', 'DT']
name: baseline1, hole_card: ['SQ', 'DQ']
name: b11902114, hole_card: ['S7', 'DT']
name: baseline1, hole_card: ['SQ', 'DQ']
name: b11902114, hole_card: ['S7', 'DT']
name: baseline1, hole_card: ['SQ', 'DQ']
name: b11902114, hole_card: ['S7', 'DT']
name: baseline1, hole_card: ['SQ', 'DQ']
community cards of this round: ['S3', 'HJ', 'H7', 'H5', 'C7']
name: b11902114, hole_card: ['HK', 'C8']
name: baseline1, hole_card: ['SJ', 'ST']
