name: b11902067, hole_card: ['CK', 'S2']
name: baseline1, hole_card: ['SA', 'H7']
community cards of this round: ['D5', 'CT', 'S7', 'H5', 'D4']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
name: b11902067, hole_card: ['S8', 'CA']
name: baseline1, hole_card: ['SK', 'C8']
community cards of this round: ['S8', 'C5', 'DJ', 'D7', 'S3']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
name: b11902067, hole_card: ['D6', 'H4']
name: baseline1, hole_card: ['SK', 'S5']
b11902067 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b11902067', 'uuid': 'vluzevetfepqlwvdddbxev', 'stack': 1998, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'dmyujzckpezpsundckbtck', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['D9', 'CJ', 'SA', 'H4', 'D6']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
name: baseline1, hole_card: ['H6', 'S4']
name: b11902067, hole_card: ['HQ', 'CT']
community cards of this round: ['CT', 'H4', 'D3', 'SJ', 'HA']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
name: baseline1, hole_card: ['C3', 'H8']
name: b11902067, hole_card: ['H7', 'C8']
community cards of this round: ['S9', 'SK', 'H9', 'SA', 'HK']
name: baseline1, hole_card: ['C7', 'C6']
name: b11902067, hole_card: ['D4', 'HA']
name: baseline1, hole_card: ['C7', 'C6']
name: b11902067, hole_card: ['D4', 'HA']
name: baseline1, hole_card: ['C7', 'C6']
name: b11902067, hole_card: ['D4', 'HA']
name: baseline1, hole_card: ['C7', 'C6']
name: b11902067, hole_card: ['D4', 'HA']
name: baseline1, hole_card: ['C7', 'C6']
name: b11902067, hole_card: ['D4', 'HA']
name: baseline1, hole_card: ['C7', 'C6']
name: b11902067, hole_card: ['D4', 'HA']
name: baseline1, hole_card: ['C7', 'C6']
name: b11902067, hole_card: ['D4', 'HA']
community cards of this round: ['D3', 'H6', 'HQ', 'ST', 'C6']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
name: baseline1, hole_card: ['SJ', 'S3']
name: b11902067, hole_card: ['S4', 'H5']
community cards of this round: ['H7', 'C7', 'D3', 'DT', 'HT']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
name: baseline1, hole_card: ['C2', 'CJ']
name: b11902067, hole_card: ['D4', 'S9']
community cards of this round: ['H2', 'S2', 'C7', 'S4', 'CJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
name: baseline1, hole_card: ['HA', 'D8']
name: b11902067, hole_card: ['C8', 'SJ']
community cards of this round: ['HT', 'HJ', 'D7', 'H8', 'DT']
name: baseline1, hole_card: ['S5', 'SK']
name: b11902067, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['S5', 'SK']
name: b11902067, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['S5', 'SK']
name: b11902067, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['S5', 'SK']
name: b11902067, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['S5', 'SK']
name: b11902067, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['S5', 'SK']
name: b11902067, hole_card: ['H2', 'DK']
name: baseline1, hole_card: ['S5', 'SK']
name: b11902067, hole_card: ['H2', 'DK']
community cards of this round: ['D5', 'D8', 'C2', 'D4', 'D9']
name: baseline1, hole_card: ['H6', 'H9']
name: b11902067, hole_card: ['HQ', 'SJ']
name: baseline1, hole_card: ['H6', 'H9']
name: b11902067, hole_card: ['HQ', 'SJ']
name: baseline1, hole_card: ['H6', 'H9']
name: b11902067, hole_card: ['HQ', 'SJ']
name: baseline1, hole_card: ['H6', 'H9']
name: b11902067, hole_card: ['HQ', 'SJ']
name: baseline1, hole_card: ['H6', 'H9']
name: b11902067, hole_card: ['HQ', 'SJ']
name: baseline1, hole_card: ['H6', 'H9']
name: b11902067, hole_card: ['HQ', 'SJ']
name: baseline1, hole_card: ['H6', 'H9']
name: b11902067, hole_card: ['HQ', 'SJ']
community cards of this round: ['S6', 'SA', 'D4', 'S4', 'C2']
name: baseline1, hole_card: ['H7', 'DK']
name: b11902067, hole_card: ['S8', 'C5']
name: baseline1, hole_card: ['H7', 'DK']
name: b11902067, hole_card: ['S8', 'C5']
community cards of this round: ['SJ', 'D3', 'CQ', 'DA', 'H4']
name: baseline1, hole_card: ['H5', 'DT']
name: b11902067, hole_card: ['ST', 'HK']
name: baseline1, hole_card: ['H5', 'DT']
name: b11902067, hole_card: ['ST', 'HK']
name: baseline1, hole_card: ['H5', 'DT']
name: b11902067, hole_card: ['ST', 'HK']
community cards of this round: ['CT', 'DQ', 'CJ', 'C7', 'D5']
name: baseline1, hole_card: ['SJ', 'H7']
name: b11902067, hole_card: ['S2', 'C6']
name: baseline1, hole_card: ['SJ', 'H7']
name: b11902067, hole_card: ['S2', 'C6']
community cards of this round: ['H3', 'HK', 'S2', 'S3', 'H4']
name: baseline1, hole_card: ['HT', 'CA']
name: b11902067, hole_card: ['S9', 'SK']
name: baseline1, hole_card: ['HT', 'CA']
name: b11902067, hole_card: ['S9', 'SK']
name: baseline1, hole_card: ['HT', 'CA']
name: b11902067, hole_card: ['S9', 'SK']
community cards of this round: ['C5', 'D6', 'HJ', 'S5', 'SA']
name: baseline1, hole_card: ['SK', 'H6']
name: b11902067, hole_card: ['S6', 'H3']
name: baseline1, hole_card: ['SK', 'H6']
name: b11902067, hole_card: ['S6', 'H3']
community cards of this round: ['DQ', 'DK', 'CA', 'HA', 'D9']
name: baseline1, hole_card: ['CK', 'D8']
name: b11902067, hole_card: ['D7', 'HJ']
name: baseline1, hole_card: ['CK', 'D8']
name: b11902067, hole_card: ['D7', 'HJ']
