community cards of this round: ['CJ', 'C3', 'C2', 'H6', 'C6']
name: b10902100, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['S7', 'D6']
name: b10902100, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['S7', 'D6']
name: b10902100, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['S7', 'D6']
name: b10902100, hole_card: ['SQ', 'D2']
name: baseline1, hole_card: ['S7', 'D6']
community cards of this round: ['S2', 'D7', 'D2', 'C9', 'H8']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
name: b10902100, hole_card: ['SA', 'HJ']
name: baseline1, hole_card: ['ST', 'SK']
community cards of this round: ['HT', 'HJ', 'CK', 'DA', 'SA']
name: b10902100, hole_card: ['D6', 'S4']
name: baseline1, hole_card: ['H7', 'C4']
name: b10902100, hole_card: ['D6', 'S4']
name: baseline1, hole_card: ['H7', 'C4']
name: b10902100, hole_card: ['D6', 'S4']
name: baseline1, hole_card: ['H7', 'C4']
community cards of this round: ['D9', 'DJ', 'S6', 'CK', 'SQ']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['CQ', 'SA']
community cards of this round: ['S8', 'D2', 'D5', 'DQ', 'SA']
name: b10902100, hole_card: ['CT', 'D3']
name: baseline1, hole_card: ['C5', 'S7']
name: b10902100, hole_card: ['CT', 'D3']
name: baseline1, hole_card: ['C5', 'S7']
name: b10902100, hole_card: ['CT', 'D3']
name: baseline1, hole_card: ['C5', 'S7']
community cards of this round: ['DQ', 'H6', 'DJ', 'H7', 'C7']
name: b10902100, hole_card: ['DK', 'S4']
name: baseline1, hole_card: ['D3', 'SJ']
name: b10902100, hole_card: ['DK', 'S4']
name: baseline1, hole_card: ['D3', 'SJ']
community cards of this round: ['C6', 'S8', 'H4', 'DQ', 'C8']
name: b10902100, hole_card: ['S2', 'S6']
name: baseline1, hole_card: ['S3', 'CJ']
name: b10902100, hole_card: ['S2', 'S6']
name: baseline1, hole_card: ['S3', 'CJ']
name: b10902100, hole_card: ['S2', 'S6']
name: baseline1, hole_card: ['S3', 'CJ']
community cards of this round: ['D9', 'H2', 'S7', 'H5', 'H9']
name: b10902100, hole_card: ['D6', 'DA']
name: baseline1, hole_card: ['DK', 'H4']
name: b10902100, hole_card: ['D6', 'DA']
name: baseline1, hole_card: ['DK', 'H4']
community cards of this round: ['CQ', 'H6', 'DT', 'H3', 'DQ']
name: b10902100, hole_card: ['S5', 'S2']
name: baseline1, hole_card: ['HJ', 'D6']
name: b10902100, hole_card: ['S5', 'S2']
name: baseline1, hole_card: ['HJ', 'D6']
name: b10902100, hole_card: ['S5', 'S2']
name: baseline1, hole_card: ['HJ', 'D6']
community cards of this round: ['D4', 'C6', 'C4', 'CK', 'H6']
name: b10902100, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['D8', 'H7']
name: b10902100, hole_card: ['HQ', 'D6']
name: baseline1, hole_card: ['D8', 'H7']
community cards of this round: ['HT', 'D4', 'C7', 'S5', 'S8']
name: b10902100, hole_card: ['H7', 'H8']
name: baseline1, hole_card: ['S7', 'D6']
name: b10902100, hole_card: ['H7', 'H8']
name: baseline1, hole_card: ['S7', 'D6']
name: b10902100, hole_card: ['H7', 'H8']
name: baseline1, hole_card: ['S7', 'D6']
community cards of this round: ['S5', 'D7', 'ST', 'SQ', 'CK']
name: b10902100, hole_card: ['H2', 'C4']
name: baseline1, hole_card: ['H4', 'H8']
name: b10902100, hole_card: ['H2', 'C4']
name: baseline1, hole_card: ['H4', 'H8']
community cards of this round: ['S4', 'C4', 'DQ', 'S3', 'D4']
name: b10902100, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['H7', 'SK']
name: b10902100, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['H7', 'SK']
name: b10902100, hole_card: ['DK', 'S5']
name: baseline1, hole_card: ['H7', 'SK']
community cards of this round: ['S4', 'H2', 'CJ', 'H7', 'HT']
name: b10902100, hole_card: ['SJ', 'C2']
name: baseline1, hole_card: ['S3', 'D4']
name: b10902100, hole_card: ['SJ', 'C2']
name: baseline1, hole_card: ['S3', 'D4']
b10902100 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902100', 'uuid': 'tdmaftuvffpupwzbdfklil', 'stack': 1015, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'akevffelumhhlrsanrmfhk', 'stack': 985, 'state': 'participating'}]}
community cards of this round: ['SK', 'D6', 'C7', 'H7', 'S4']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
name: baseline1, hole_card: ['S2', 'HQ']
name: b10902100, hole_card: ['S8', 'CQ']
community cards of this round: ['D7', 'SA', 'D4', 'DQ', 'S3']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
name: baseline1, hole_card: ['S2', 'CK']
name: b10902100, hole_card: ['HK', 'H5']
community cards of this round: ['D5', 'HA', 'SA', 'DJ', 'DA']
name: baseline1, hole_card: ['D9', 'S5']
name: b10902100, hole_card: ['S2', 'C3']
name: baseline1, hole_card: ['D9', 'S5']
name: b10902100, hole_card: ['S2', 'C3']
community cards of this round: ['C2', 'S6', 'SJ', 'CT', 'C5']
name: baseline1, hole_card: ['HK', 'C7']
name: b10902100, hole_card: ['C6', 'C4']
name: baseline1, hole_card: ['HK', 'C7']
name: b10902100, hole_card: ['C6', 'C4']
name: baseline1, hole_card: ['HK', 'C7']
name: b10902100, hole_card: ['C6', 'C4']
community cards of this round: ['H5', 'D6', 'C9', 'SQ', 'CQ']
name: baseline1, hole_card: ['D2', 'HQ']
name: b10902100, hole_card: ['D9', 'C6']
name: baseline1, hole_card: ['D2', 'HQ']
