community cards of this round: ['S9', 'SK', 'H9', 'C7', 'CK']
name: b10902111, hole_card: ['ST', 'DT']
name: baseline1, hole_card: ['D2', 'DQ']
name: b10902111, hole_card: ['ST', 'DT']
name: baseline1, hole_card: ['D2', 'DQ']
name: b10902111, hole_card: ['ST', 'DT']
name: baseline1, hole_card: ['D2', 'DQ']
community cards of this round: ['CK', 'CA', 'S3', 'C2', 'H5']
name: b10902111, hole_card: ['C4', 'S8']
name: baseline1, hole_card: ['DK', 'DJ']
name: b10902111, hole_card: ['C4', 'S8']
name: baseline1, hole_card: ['DK', 'DJ']
community cards of this round: ['CJ', 'C2', 'CA', 'H2', 'DK']
name: b10902111, hole_card: ['S8', 'S7']
name: baseline1, hole_card: ['H3', 'D4']
name: b10902111, hole_card: ['S8', 'S7']
name: baseline1, hole_card: ['H3', 'D4']
name: b10902111, hole_card: ['S8', 'S7']
name: baseline1, hole_card: ['H3', 'D4']
community cards of this round: ['D3', 'SA', 'CJ', 'S8', 'H2']
name: b10902111, hole_card: ['SQ', 'H9']
name: baseline1, hole_card: ['C8', 'C2']
name: b10902111, hole_card: ['SQ', 'H9']
name: baseline1, hole_card: ['C8', 'C2']
community cards of this round: ['HQ', 'C5', 'H8', 'D3', 'C3']
name: b10902111, hole_card: ['ST', 'H6']
name: baseline1, hole_card: ['D4', 'CT']
name: b10902111, hole_card: ['ST', 'H6']
name: baseline1, hole_card: ['D4', 'CT']
name: b10902111, hole_card: ['ST', 'H6']
name: baseline1, hole_card: ['D4', 'CT']
community cards of this round: ['SK', 'S7', 'S8', 'S3', 'CJ']
name: b10902111, hole_card: ['C4', 'C2']
name: baseline1, hole_card: ['H3', 'D5']
name: b10902111, hole_card: ['C4', 'C2']
name: baseline1, hole_card: ['H3', 'D5']
community cards of this round: ['HT', 'DT', 'SK', 'S3', 'CT']
name: b10902111, hole_card: ['H2', 'H6']
name: baseline1, hole_card: ['C6', 'H8']
name: b10902111, hole_card: ['H2', 'H6']
name: baseline1, hole_card: ['C6', 'H8']
name: b10902111, hole_card: ['H2', 'H6']
name: baseline1, hole_card: ['C6', 'H8']
community cards of this round: ['HT', 'DA', 'ST', 'DJ', 'DQ']
name: b10902111, hole_card: ['H3', 'S6']
name: baseline1, hole_card: ['DT', 'SJ']
name: b10902111, hole_card: ['H3', 'S6']
name: baseline1, hole_card: ['DT', 'SJ']
community cards of this round: ['CA', 'SJ', 'SA', 'S4', 'DK']
name: b10902111, hole_card: ['CK', 'C4']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902111, hole_card: ['CK', 'C4']
name: baseline1, hole_card: ['H4', 'D5']
name: b10902111, hole_card: ['CK', 'C4']
name: baseline1, hole_card: ['H4', 'D5']
community cards of this round: ['C4', 'C8', 'D3', 'H7', 'C2']
name: b10902111, hole_card: ['D2', 'S2']
name: baseline1, hole_card: ['HK', 'H6']
name: b10902111, hole_card: ['D2', 'S2']
name: baseline1, hole_card: ['HK', 'H6']
community cards of this round: ['C9', 'S7', 'H9', 'D7', 'HA']
name: b10902111, hole_card: ['HQ', 'S8']
name: baseline1, hole_card: ['CJ', 'HT']
name: b10902111, hole_card: ['HQ', 'S8']
name: baseline1, hole_card: ['CJ', 'HT']
name: b10902111, hole_card: ['HQ', 'S8']
name: baseline1, hole_card: ['CJ', 'HT']
community cards of this round: ['DT', 'CK', 'S3', 'H6', 'D4']
name: b10902111, hole_card: ['S8', 'HQ']
name: baseline1, hole_card: ['H8', 'ST']
name: b10902111, hole_card: ['S8', 'HQ']
name: baseline1, hole_card: ['H8', 'ST']
b10902111 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902111', 'uuid': 'nedmdufkojulgxtyvnfbpk', 'stack': 1180.5, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'tdmxphskomvzpotoxsneog', 'stack': 818.75, 'state': 'participating'}]}
community cards of this round: ['SK', 'DK', 'H8', 'CK', 'CJ']
name: baseline1, hole_card: ['S8', 'H7']
name: b10902111, hole_card: ['C4', 'D9']
name: baseline1, hole_card: ['S8', 'H7']
name: b10902111, hole_card: ['C4', 'D9']
name: baseline1, hole_card: ['S8', 'H7']
name: b10902111, hole_card: ['C4', 'D9']
name: baseline1, hole_card: ['S8', 'H7']
name: b10902111, hole_card: ['C4', 'D9']
community cards of this round: ['HT', 'H8', 'D9', 'D6', 'CJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
name: baseline1, hole_card: ['DA', 'H4']
name: b10902111, hole_card: ['C8', 'HJ']
