name: b10902067, hole_card: ['HK', 'CK']
name: baseline1, hole_card: ['CQ', 'H3']
name: b10902067, hole_card: ['HK', 'CK']
b10902067 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'szujxagpokdxczrnqufhfl', 'stack': 775.0, 'state': 'participating'}, {'name': 'b10902067', 'uuid': 'iixixgilvvyduzslfyjqup', 'stack': 1225.0, 'state': 'participating'}]}
community cards of this round: ['HQ', 'D8', 'C9', 'H6', 'SQ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
name: b10902067, hole_card: ['C6', 'S5']
name: baseline1, hole_card: ['C5', 'HJ']
community cards of this round: ['CT', 'DA', 'H4', 'H7', 'D9']
name: b10902067, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902067, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902067, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902067, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902067, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['ST', 'CA']
name: b10902067, hole_card: ['H2', 'C2']
name: baseline1, hole_card: ['ST', 'CA']
community cards of this round: ['S3', 'HT', 'S4', 'SQ', 'SJ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
name: baseline1, hole_card: ['H2', 'DQ']
name: b10902067, hole_card: ['CQ', 'HQ']
