name: b10902075, hole_card: ['H4', 'SJ']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902075, hole_card: ['H4', 'SJ']
name: baseline1, hole_card: ['DT', 'S9']
name: b10902075, hole_card: ['H4', 'SJ']
name: baseline1, hole_card: ['DT', 'S9']
community cards of this round: ['H5', 'DA', 'S8', 'S3', 'D3']
name: b10902075, hole_card: ['C3', 'DQ']
name: baseline1, hole_card: ['HT', 'S7']
name: b10902075, hole_card: ['C3', 'DQ']
name: baseline1, hole_card: ['HT', 'S7']
community cards of this round: ['D2', 'C9', 'D4', 'CK', 'ST']
name: b10902075, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['H6', 'D7']
name: b10902075, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['H6', 'D7']
name: b10902075, hole_card: ['D6', 'C4']
name: baseline1, hole_card: ['H6', 'D7']
community cards of this round: ['DT', 'S3', 'S4', 'S2', 'CA']
name: b10902075, hole_card: ['C8', 'S8']
name: baseline1, hole_card: ['D4', 'CT']
name: b10902075, hole_card: ['C8', 'S8']
name: baseline1, hole_card: ['D4', 'CT']
community cards of this round: ['C5', 'D2', 'S3', 'SQ', 'DJ']
name: b10902075, hole_card: ['S9', 'SA']
name: baseline1, hole_card: ['H7', 'CT']
name: b10902075, hole_card: ['S9', 'SA']
name: baseline1, hole_card: ['H7', 'CT']
name: b10902075, hole_card: ['S9', 'SA']
name: baseline1, hole_card: ['H7', 'CT']
community cards of this round: ['HQ', 'CK', 'D8', 'HT', 'S2']
name: b10902075, hole_card: ['DT', 'H2']
name: baseline1, hole_card: ['DA', 'CA']
name: b10902075, hole_card: ['DT', 'H2']
name: baseline1, hole_card: ['DA', 'CA']
community cards of this round: ['HA', 'DT', 'SK', 'H6', 'CA']
name: b10902075, hole_card: ['SJ', 'H5']
name: baseline1, hole_card: ['HJ', 'S9']
name: b10902075, hole_card: ['SJ', 'H5']
name: baseline1, hole_card: ['HJ', 'S9']
name: b10902075, hole_card: ['SJ', 'H5']
name: baseline1, hole_card: ['HJ', 'S9']
community cards of this round: ['S4', 'C3', 'D8', 'HA', 'DT']
name: b10902075, hole_card: ['DQ', 'SA']
name: baseline1, hole_card: ['CQ', 'D3']
name: b10902075, hole_card: ['DQ', 'SA']
name: baseline1, hole_card: ['CQ', 'D3']
community cards of this round: ['HK', 'SA', 'DJ', 'D2', 'D6']
name: b10902075, hole_card: ['SQ', 'D5']
name: baseline1, hole_card: ['D9', 'S9']
name: b10902075, hole_card: ['SQ', 'D5']
name: baseline1, hole_card: ['D9', 'S9']
name: b10902075, hole_card: ['SQ', 'D5']
name: baseline1, hole_card: ['D9', 'S9']
community cards of this round: ['SA', 'H8', 'D9', 'C4', 'HA']
name: b10902075, hole_card: ['C9', 'D4']
name: baseline1, hole_card: ['DQ', 'C5']
name: b10902075, hole_card: ['C9', 'D4']
