name: b10902034, hole_card: ['SA', 'H3']
name: baseline1, hole_card: ['C9', 'H6']
name: b10902034, hole_card: ['SA', 'H3']
name: baseline1, hole_card: ['C9', 'H6']
name: b10902034, hole_card: ['SA', 'H3']
name: baseline1, hole_card: ['C9', 'H6']
name: b10902034, hole_card: ['SA', 'H3']
name: baseline1, hole_card: ['C9', 'H6']
community cards of this round: ['H9', 'C3', 'S4', 'SQ', 'C7']
name: b10902034, hole_card: ['C6', 'C5']
name: baseline1, hole_card: ['C4', 'HT']
name: b10902034, hole_card: ['C6', 'C5']
name: baseline1, hole_card: ['C4', 'HT']
community cards of this round: ['D6', 'DT', 'HK', 'C9', 'CK']
name: b10902034, hole_card: ['H4', 'C6']
name: baseline1, hole_card: ['CA', 'C8']
name: b10902034, hole_card: ['H4', 'C6']
name: baseline1, hole_card: ['CA', 'C8']
name: b10902034, hole_card: ['H4', 'C6']
name: baseline1, hole_card: ['CA', 'C8']
community cards of this round: ['D3', 'HT', 'D6', 'C9', 'CT']
name: b10902034, hole_card: ['H6', 'S5']
name: baseline1, hole_card: ['S4', 'SQ']
name: b10902034, hole_card: ['H6', 'S5']
name: baseline1, hole_card: ['S4', 'SQ']
community cards of this round: ['H3', 'HK', 'D9', 'DT', 'HJ']
name: b10902034, hole_card: ['S7', 'H4']
name: baseline1, hole_card: ['S6', 'SQ']
name: b10902034, hole_card: ['S7', 'H4']
name: baseline1, hole_card: ['S6', 'SQ']
name: b10902034, hole_card: ['S7', 'H4']
name: baseline1, hole_card: ['S6', 'SQ']
community cards of this round: ['C9', 'D8', 'H5', 'D6', 'CQ']
name: b10902034, hole_card: ['S7', 'HA']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902034, hole_card: ['S7', 'HA']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902034, hole_card: ['S7', 'HA']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902034, hole_card: ['S7', 'HA']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902034, hole_card: ['S7', 'HA']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902034, hole_card: ['S7', 'HA']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902034, hole_card: ['S7', 'HA']
name: baseline1, hole_card: ['SJ', 'H4']
community cards of this round: ['S5', 'C6', 'DT', 'H5', 'H2']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
name: b10902034, hole_card: ['DK', 'D7']
name: baseline1, hole_card: ['D6', 'HA']
