community cards of this round: ['D4', 'H8', 'H6', 'SJ', 'H3']
name: baseline1, hole_card: ['H5', 'HJ']
name: b10902113, hole_card: ['C7', 'H9']
name: baseline1, hole_card: ['H5', 'HJ']
name: b10902113, hole_card: ['C7', 'H9']
name: baseline1, hole_card: ['H5', 'HJ']
name: b10902113, hole_card: ['C7', 'H9']
name: baseline1, hole_card: ['H5', 'HJ']
name: b10902113, hole_card: ['C7', 'H9']
name: baseline1, hole_card: ['H5', 'HJ']
name: b10902113, hole_card: ['C7', 'H9']
name: baseline1, hole_card: ['H5', 'HJ']
name: b10902113, hole_card: ['C7', 'H9']
name: baseline1, hole_card: ['H5', 'HJ']
name: b10902113, hole_card: ['C7', 'H9']
community cards of this round: ['DA', 'HK', 'S7', 'C4', 'H8']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
name: baseline1, hole_card: ['DT', 'CT']
name: b10902113, hole_card: ['H4', 'D5']
community cards of this round: ['SK', 'HJ', 'S4', 'D6', 'H9']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
name: baseline1, hole_card: ['C2', 'SA']
name: b10902113, hole_card: ['SJ', 'H8']
community cards of this round: ['D5', 'H8', 'HK', 'D3', 'DQ']
name: baseline1, hole_card: ['CA', 'DA']
name: b10902113, hole_card: ['D4', 'D7']
name: baseline1, hole_card: ['CA', 'DA']
name: b10902113, hole_card: ['D4', 'D7']
community cards of this round: ['HA', 'C6', 'C7', 'H7', 'HT']
name: baseline1, hole_card: ['DA', 'S8']
name: b10902113, hole_card: ['C9', 'S7']
name: baseline1, hole_card: ['DA', 'S8']
name: b10902113, hole_card: ['C9', 'S7']
name: baseline1, hole_card: ['DA', 'S8']
name: b10902113, hole_card: ['C9', 'S7']
b10902113 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'fwylzqlmsqkdbsjvktydke', 'stack': 988.5, 'state': 'participating'}, {'name': 'b10902113', 'uuid': 'ixvlluxrzzsbbqghpaudxl', 'stack': 1008.37744140625, 'state': 'participating'}]}
community cards of this round: ['S2', 'H8', 'DQ', 'S7', 'DT']
name: b10902113, hole_card: ['S8', 'HA']
name: baseline1, hole_card: ['H9', 'CA']
name: b10902113, hole_card: ['S8', 'HA']
name: baseline1, hole_card: ['H9', 'CA']
name: b10902113, hole_card: ['S8', 'HA']
name: baseline1, hole_card: ['H9', 'CA']
name: b10902113, hole_card: ['S8', 'HA']
