name: baseline1, hole_card: ['SQ', 'H6']
b09605039 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b09605039', 'uuid': 'ludcasexrrbvoqpqmghrcr', 'stack': 1996.2752281070348, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'hdvdowziubpdfjhmicqvnc', 'stack': 0, 'state': 'folded'}]}
community cards of this round: ['H4', 'CT', 'D9', 'S8', 'C3']
name: baseline1, hole_card: ['CQ', 'HK']
name: b09605039, hole_card: ['SA', 'CK']
name: baseline1, hole_card: ['CQ', 'HK']
name: b09605039, hole_card: ['SA', 'CK']
name: baseline1, hole_card: ['CQ', 'HK']
name: b09605039, hole_card: ['SA', 'CK']
b09605039 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'efyfofivhotybkzytbpclv', 'stack': 0, 'state': 'folded'}, {'name': 'b09605039', 'uuid': 'uyjxsirizcwamauucjgjlo', 'stack': 2000, 'state': 'participating'}]}
community cards of this round: ['H4', 'CT', 'D9', 'S8', 'C3']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
name: b09605039, hole_card: ['CQ', 'HK']
name: baseline1, hole_card: ['SA', 'CK']
b09605039 vs baseline1 - Game 4: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b09605039', 'uuid': 'qkkzqwwlltkjqlbmmekhgk', 'stack': 0, 'state': 'folded'}, {'name': 'baseline1', 'uuid': 'bzopqkbizsufljlgrxxikl', 'stack': 1996.451481103352, 'state': 'participating'}]}
b09605039 vs baseline1 - Match Result: 1 games won, 1.5 points earned
community cards of this round: ['S6', 'DT', 'DA', 'C4', 'H3']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
name: b09605039, hole_card: ['HJ', 'C8']
name: baseline2, hole_card: ['C6', 'S8']
