name: baseline1, hole_card: ['DA', 'S2']
name: b10502058, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['DA', 'S2']
name: b10502058, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['DA', 'S2']
name: b10502058, hole_card: ['S9', 'H4']
community cards of this round: ['H7', 'DT', 'DA', 'C3', 'C2']
name: baseline1, hole_card: ['S5', 'CA']
name: b10502058, hole_card: ['SK', 'H2']
name: baseline1, hole_card: ['S5', 'CA']
name: b10502058, hole_card: ['SK', 'H2']
community cards of this round: ['CJ', 'C8', 'H9', 'H4', 'S2']
name: baseline1, hole_card: ['S5', 'D3']
name: b10502058, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S5', 'D3']
name: b10502058, hole_card: ['H6', 'D6']
name: baseline1, hole_card: ['S5', 'D3']
name: b10502058, hole_card: ['H6', 'D6']
community cards of this round: ['CJ', 'HK', 'C6', 'D8', 'DJ']
name: baseline1, hole_card: ['D3', 'H9']
name: b10502058, hole_card: ['HJ', 'HA']
name: baseline1, hole_card: ['D3', 'H9']
name: b10502058, hole_card: ['HJ', 'HA']
community cards of this round: ['C4', 'SK', 'C6', 'C7', 'HA']
name: baseline1, hole_card: ['S3', 'D6']
name: b10502058, hole_card: ['H4', 'C3']
name: baseline1, hole_card: ['S3', 'D6']
name: b10502058, hole_card: ['H4', 'C3']
name: baseline1, hole_card: ['S3', 'D6']
name: b10502058, hole_card: ['H4', 'C3']
community cards of this round: ['S9', 'D7', 'DJ', 'S5', 'DK']
name: baseline1, hole_card: ['D5', 'CJ']
name: b10502058, hole_card: ['H5', 'H8']
name: baseline1, hole_card: ['D5', 'CJ']
name: b10502058, hole_card: ['H5', 'H8']
community cards of this round: ['D3', 'CT', 'H4', 'S3', 'S2']
name: baseline1, hole_card: ['HQ', 'C6']
name: b10502058, hole_card: ['CQ', 'H8']
name: baseline1, hole_card: ['HQ', 'C6']
name: b10502058, hole_card: ['CQ', 'H8']
name: baseline1, hole_card: ['HQ', 'C6']
name: b10502058, hole_card: ['CQ', 'H8']
community cards of this round: ['CK', 'D9', 'H9', 'H4', 'H6']
name: baseline1, hole_card: ['S9', 'S5']
name: b10502058, hole_card: ['C6', 'SQ']
name: baseline1, hole_card: ['S9', 'S5']
name: b10502058, hole_card: ['C6', 'SQ']
community cards of this round: ['H9', 'S3', 'H4', 'C9', 'S6']
name: baseline1, hole_card: ['ST', 'H6']
name: b10502058, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['ST', 'H6']
name: b10502058, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['ST', 'H6']
name: b10502058, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['ST', 'H6']
name: b10502058, hole_card: ['D8', 'S2']
name: baseline1, hole_card: ['ST', 'H6']
name: b10502058, hole_card: ['D8', 'S2']
