name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
name: baseline1, hole_card: ['HA', 'D6']
name: b10902022, hole_card: ['D9', 'DJ']
community cards of this round: ['SK', 'HJ', 'S6', 'HQ', 'ST']
name: baseline1, hole_card: ['SJ', 'S9']
name: b10902022, hole_card: ['D8', 'D7']
name: baseline1, hole_card: ['SJ', 'S9']
name: b10902022, hole_card: ['D8', 'D7']
name: baseline1, hole_card: ['SJ', 'S9']
name: b10902022, hole_card: ['D8', 'D7']
community cards of this round: ['C8', 'C2', 'H4', 'CJ', 'D4']
name: baseline1, hole_card: ['D7', 'S4']
name: b10902022, hole_card: ['S8', 'S3']
name: baseline1, hole_card: ['D7', 'S4']
name: b10902022, hole_card: ['S8', 'S3']
community cards of this round: ['S7', 'D7', 'H2', 'SA', 'HA']
name: baseline1, hole_card: ['S9', 'H4']
name: b10902022, hole_card: ['S8', 'ST']
name: baseline1, hole_card: ['S9', 'H4']
name: b10902022, hole_card: ['S8', 'ST']
name: baseline1, hole_card: ['S9', 'H4']
name: b10902022, hole_card: ['S8', 'ST']
community cards of this round: ['HA', 'D5', 'D7', 'H9', 'C9']
name: baseline1, hole_card: ['C7', 'D8']
name: b10902022, hole_card: ['DQ', 'S8']
name: baseline1, hole_card: ['C7', 'D8']
name: b10902022, hole_card: ['DQ', 'S8']
community cards of this round: ['D3', 'D5', 'HT', 'H2', 'S6']
name: baseline1, hole_card: ['DT', 'C4']
name: b10902022, hole_card: ['H9', 'H7']
name: baseline1, hole_card: ['DT', 'C4']
name: b10902022, hole_card: ['H9', 'H7']
name: baseline1, hole_card: ['DT', 'C4']
name: b10902022, hole_card: ['H9', 'H7']
community cards of this round: ['S2', 'HJ', 'C9', 'D9', 'D5']
name: baseline1, hole_card: ['H3', 'D6']
name: b10902022, hole_card: ['DJ', 'C2']
name: baseline1, hole_card: ['H3', 'D6']
name: b10902022, hole_card: ['DJ', 'C2']
community cards of this round: ['CT', 'HQ', 'ST', 'HK', 'H5']
name: baseline1, hole_card: ['S3', 'S5']
name: b10902022, hole_card: ['DA', 'C3']
name: baseline1, hole_card: ['S3', 'S5']
name: b10902022, hole_card: ['DA', 'C3']
name: baseline1, hole_card: ['S3', 'S5']
name: b10902022, hole_card: ['DA', 'C3']
community cards of this round: ['S3', 'C6', 'D5', 'D2', 'HQ']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902022, hole_card: ['SJ', 'H4']
name: baseline1, hole_card: ['C3', 'S4']
name: b10902022, hole_card: ['SJ', 'H4']
community cards of this round: ['S2', 'D3', 'DA', 'C2', 'SJ']
name: baseline1, hole_card: ['S8', 'H5']
name: b10902022, hole_card: ['H2', 'DJ']
name: baseline1, hole_card: ['S8', 'H5']
name: b10902022, hole_card: ['H2', 'DJ']
name: baseline1, hole_card: ['S8', 'H5']
name: b10902022, hole_card: ['H2', 'DJ']
b10902022 vs baseline1 - Game 1: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'unaihalbucnhoeqnzzdryk', 'stack': 996.8046875, 'state': 'participating'}, {'name': 'b10902022', 'uuid': 'ygwqdqjlhedkpvcnxzwzdi', 'stack': 1001, 'state': 'participating'}]}
community cards of this round: ['D2', 'DQ', 'D5', 'ST', 'C8']
name: b10902022, hole_card: ['HQ', 'D3']
name: baseline1, hole_card: ['D9', 'DJ']
name: b10902022, hole_card: ['HQ', 'D3']
name: baseline1, hole_card: ['D9', 'DJ']
name: b10902022, hole_card: ['HQ', 'D3']
name: baseline1, hole_card: ['D9', 'DJ']
name: b10902022, hole_card: ['HQ', 'D3']
name: baseline1, hole_card: ['D9', 'DJ']
name: b10902022, hole_card: ['HQ', 'D3']
name: baseline1, hole_card: ['D9', 'DJ']
community cards of this round: ['DK', 'H3', 'D7', 'S9', 'HJ']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
name: b10902022, hole_card: ['CJ', 'S5']
name: baseline1, hole_card: ['D4', 'S3']
community cards of this round: ['C8', 'D4', 'D9', 'S9', 'HT']
name: b10902022, hole_card: ['HQ', 'CK']
name: baseline1, hole_card: ['DQ', 'C4']
name: b10902022, hole_card: ['HQ', 'CK']
name: baseline1, hole_card: ['DQ', 'C4']
name: b10902022, hole_card: ['HQ', 'CK']
name: baseline1, hole_card: ['DQ', 'C4']
community cards of this round: ['H5', 'HA', 'S4', 'DJ', 'C7']
name: b10902022, hole_card: ['SK', 'SA']
name: baseline1, hole_card: ['S5', 'D9']
name: b10902022, hole_card: ['SK', 'SA']
name: baseline1, hole_card: ['S5', 'D9']
community cards of this round: ['S9', 'S2', 'SJ', 'H2', 'H8']
name: b10902022, hole_card: ['DK', 'H5']
name: baseline1, hole_card: ['S7', 'C5']
name: b10902022, hole_card: ['DK', 'H5']
name: baseline1, hole_card: ['S7', 'C5']
name: b10902022, hole_card: ['DK', 'H5']
name: baseline1, hole_card: ['S7', 'C5']
community cards of this round: ['C6', 'ST', 'H3', 'SJ', 'CA']
name: b10902022, hole_card: ['S5', 'SA']
name: baseline1, hole_card: ['S2', 'S9']
name: b10902022, hole_card: ['S5', 'SA']
name: baseline1, hole_card: ['S2', 'S9']
community cards of this round: ['DJ', 'D7', 'SJ', 'D6', 'C7']
name: b10902022, hole_card: ['H7', 'C4']
name: baseline1, hole_card: ['S5', 'CT']
name: b10902022, hole_card: ['H7', 'C4']
name: baseline1, hole_card: ['S5', 'CT']
name: b10902022, hole_card: ['H7', 'C4']
name: baseline1, hole_card: ['S5', 'CT']
community cards of this round: ['SJ', 'DK', 'S4', 'D2', 'H5']
name: b10902022, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['S5', 'DT']
name: b10902022, hole_card: ['DQ', 'D7']
name: baseline1, hole_card: ['S5', 'DT']
community cards of this round: ['S4', 'C2', 'SK', 'S9', 'CT']
name: b10902022, hole_card: ['DJ', 'D4']
name: baseline1, hole_card: ['SJ', 'D5']
name: b10902022, hole_card: ['DJ', 'D4']
name: baseline1, hole_card: ['SJ', 'D5']
name: b10902022, hole_card: ['DJ', 'D4']
name: baseline1, hole_card: ['SJ', 'D5']
community cards of this round: ['DA', 'C2', 'H5', 'SJ', 'D9']
name: b10902022, hole_card: ['S3', 'D6']
name: baseline1, hole_card: ['S6', 'C3']
name: b10902022, hole_card: ['S3', 'D6']
name: baseline1, hole_card: ['S6', 'C3']
community cards of this round: ['D8', 'SQ', 'D2', 'D7', 'D5']
name: b10902022, hole_card: ['HA', 'D6']
name: baseline1, hole_card: ['D9', 'DJ']
name: b10902022, hole_card: ['HA', 'D6']
name: baseline1, hole_card: ['D9', 'DJ']
name: b10902022, hole_card: ['HA', 'D6']
name: baseline1, hole_card: ['D9', 'DJ']
community cards of this round: ['SK', 'HJ', 'S6', 'HQ', 'ST']
name: b10902022, hole_card: ['SJ', 'S9']
name: baseline1, hole_card: ['D8', 'D7']
name: b10902022, hole_card: ['SJ', 'S9']
name: baseline1, hole_card: ['D8', 'D7']
community cards of this round: ['C8', 'C2', 'H4', 'CJ', 'D4']
name: b10902022, hole_card: ['D7', 'S4']
name: baseline1, hole_card: ['S8', 'S3']
name: b10902022, hole_card: ['D7', 'S4']
name: baseline1, hole_card: ['S8', 'S3']
name: b10902022, hole_card: ['D7', 'S4']
name: baseline1, hole_card: ['S8', 'S3']
community cards of this round: ['S7', 'D7', 'H2', 'SA', 'HA']
name: b10902022, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S8', 'ST']
name: b10902022, hole_card: ['S9', 'H4']
name: baseline1, hole_card: ['S8', 'ST']
community cards of this round: ['HA', 'D5', 'D7', 'H9', 'C9']
name: b10902022, hole_card: ['C7', 'D8']
name: baseline1, hole_card: ['DQ', 'S8']
name: b10902022, hole_card: ['C7', 'D8']
name: baseline1, hole_card: ['DQ', 'S8']
name: b10902022, hole_card: ['C7', 'D8']
name: baseline1, hole_card: ['DQ', 'S8']
community cards of this round: ['D3', 'D5', 'HT', 'H2', 'S6']
name: b10902022, hole_card: ['DT', 'C4']
name: baseline1, hole_card: ['H9', 'H7']
name: b10902022, hole_card: ['DT', 'C4']
name: baseline1, hole_card: ['H9', 'H7']
community cards of this round: ['S2', 'HJ', 'C9', 'D9', 'D5']
name: b10902022, hole_card: ['H3', 'D6']
name: baseline1, hole_card: ['DJ', 'C2']
name: b10902022, hole_card: ['H3', 'D6']
name: baseline1, hole_card: ['DJ', 'C2']
name: b10902022, hole_card: ['H3', 'D6']
name: baseline1, hole_card: ['DJ', 'C2']
community cards of this round: ['CT', 'HQ', 'ST', 'HK', 'H5']
name: b10902022, hole_card: ['S3', 'S5']
name: baseline1, hole_card: ['DA', 'C3']
name: b10902022, hole_card: ['S3', 'S5']
name: baseline1, hole_card: ['DA', 'C3']
community cards of this round: ['S3', 'C6', 'D5', 'D2', 'HQ']
name: b10902022, hole_card: ['C3', 'S4']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902022, hole_card: ['C3', 'S4']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902022, hole_card: ['C3', 'S4']
name: baseline1, hole_card: ['SJ', 'H4']
community cards of this round: ['S2', 'D3', 'DA', 'C2', 'SJ']
name: b10902022, hole_card: ['S8', 'H5']
name: baseline1, hole_card: ['H2', 'DJ']
name: b10902022, hole_card: ['S8', 'H5']
name: baseline1, hole_card: ['H2', 'DJ']
b10902022 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902022', 'uuid': 'nkvisgdqrybouqzkohbqhg', 'stack': 1001, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'obeooryxzwcuqylfxtmvgu', 'stack': 998.25, 'state': 'participating'}]}
community cards of this round: ['CA', 'DJ', 'SJ', 'SK', 'C3']
name: baseline1, hole_card: ['H2', 'D7']
name: b10902022, hole_card: ['SA', 'S7']
name: baseline1, hole_card: ['H2', 'D7']
name: b10902022, hole_card: ['SA', 'S7']
name: baseline1, hole_card: ['H2', 'D7']
name: b10902022, hole_card: ['SA', 'S7']
name: baseline1, hole_card: ['H2', 'D7']
name: b10902022, hole_card: ['SA', 'S7']
name: baseline1, hole_card: ['H2', 'D7']
name: b10902022, hole_card: ['SA', 'S7']
community cards of this round: ['DK', 'D7', 'SA', 'CA', 'ST']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
name: baseline1, hole_card: ['HQ', 'D9']
name: b10902022, hole_card: ['HT', 'H9']
community cards of this round: ['SJ', 'S8', 'D8', 'S2', 'ST']
name: baseline1, hole_card: ['C8', 'DQ']
name: b10902022, hole_card: ['H7', 'S9']
name: baseline1, hole_card: ['C8', 'DQ']
name: b10902022, hole_card: ['H7', 'S9']
community cards of this round: ['SQ', 'C5', 'CK', 'D4', 'C3']
name: baseline1, hole_card: ['CJ', 'C6']
name: b10902022, hole_card: ['CT', 'D5']
name: baseline1, hole_card: ['CJ', 'C6']
name: b10902022, hole_card: ['CT', 'D5']
name: baseline1, hole_card: ['CJ', 'C6']
name: b10902022, hole_card: ['CT', 'D5']
community cards of this round: ['HJ', 'CT', 'DA', 'S4', 'CJ']
name: baseline1, hole_card: ['S6', 'C8']
name: b10902022, hole_card: ['DT', 'D5']
name: baseline1, hole_card: ['S6', 'C8']
name: b10902022, hole_card: ['DT', 'D5']
community cards of this round: ['CK', 'H3', 'HK', 'D2', 'S2']
name: baseline1, hole_card: ['HT', 'S9']
name: b10902022, hole_card: ['CJ', 'H5']
name: baseline1, hole_card: ['HT', 'S9']
name: b10902022, hole_card: ['CJ', 'H5']
name: baseline1, hole_card: ['HT', 'S9']
name: b10902022, hole_card: ['CJ', 'H5']
community cards of this round: ['CJ', 'H6', 'S2', 'SJ', 'S9']
name: baseline1, hole_card: ['SK', 'HK']
name: b10902022, hole_card: ['S5', 'H9']
name: baseline1, hole_card: ['SK', 'HK']
name: b10902022, hole_card: ['S5', 'H9']
community cards of this round: ['SQ', 'C3', 'HA', 'S8', 'HQ']
name: baseline1, hole_card: ['CK', 'H2']
name: b10902022, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CK', 'H2']
name: b10902022, hole_card: ['S5', 'DJ']
name: baseline1, hole_card: ['CK', 'H2']
name: b10902022, hole_card: ['S5', 'DJ']
community cards of this round: ['C5', 'C7', 'H7', 'CT', 'H9']
name: baseline1, hole_card: ['HK', 'C4']
name: b10902022, hole_card: ['D8', 'C3']
name: baseline1, hole_card: ['HK', 'C4']
name: b10902022, hole_card: ['D8', 'C3']
community cards of this round: ['CT', 'HA', 'H3', 'H8', 'D3']
name: baseline1, hole_card: ['H4', 'D7']
name: b10902022, hole_card: ['S5', 'S7']
name: baseline1, hole_card: ['H4', 'D7']
name: b10902022, hole_card: ['S5', 'S7']
name: baseline1, hole_card: ['H4', 'D7']
name: b10902022, hole_card: ['S5', 'S7']
community cards of this round: ['HA', 'D6', 'S2', 'CT', 'D5']
name: baseline1, hole_card: ['DA', 'SJ']
name: b10902022, hole_card: ['C8', 'DQ']
name: baseline1, hole_card: ['DA', 'SJ']
name: b10902022, hole_card: ['C8', 'DQ']
community cards of this round: ['C7', 'SJ', 'C4', 'C5', 'HQ']
name: baseline1, hole_card: ['HT', 'S4']
name: b10902022, hole_card: ['H5', 'S6']
name: baseline1, hole_card: ['HT', 'S4']
name: b10902022, hole_card: ['H5', 'S6']
name: baseline1, hole_card: ['HT', 'S4']
name: b10902022, hole_card: ['H5', 'S6']
community cards of this round: ['DQ', 'D5', 'DA', 'S5', 'S6']
name: baseline1, hole_card: ['DJ', 'D8']
name: b10902022, hole_card: ['H2', 'S4']
name: baseline1, hole_card: ['DJ', 'D8']
name: b10902022, hole_card: ['H2', 'S4']
community cards of this round: ['CT', 'DQ', 'H6', 'D5', 'C7']
name: baseline1, hole_card: ['S5', 'HQ']
name: b10902022, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'HQ']
name: b10902022, hole_card: ['DK', 'C6']
name: baseline1, hole_card: ['S5', 'HQ']
name: b10902022, hole_card: ['DK', 'C6']
community cards of this round: ['H9', 'S8', 'S9', 'HT', 'CK']
name: baseline1, hole_card: ['CT', 'D7']
name: b10902022, hole_card: ['HQ', 'DJ']
name: baseline1, hole_card: ['CT', 'D7']
name: b10902022, hole_card: ['HQ', 'DJ']
community cards of this round: ['DT', 'H2', 'SA', 'C6', 'S4']
name: baseline1, hole_card: ['H3', 'DJ']
name: b10902022, hole_card: ['S3', 'H6']
name: baseline1, hole_card: ['H3', 'DJ']
name: b10902022, hole_card: ['S3', 'H6']
name: baseline1, hole_card: ['H3', 'DJ']
name: b10902022, hole_card: ['S3', 'H6']
community cards of this round: ['DK', 'ST', 'CK', 'H3', 'CA']
name: baseline1, hole_card: ['S8', 'S6']
name: b10902022, hole_card: ['DA', 'DQ']
name: baseline1, hole_card: ['S8', 'S6']
name: b10902022, hole_card: ['DA', 'DQ']
community cards of this round: ['D3', 'C7', 'CK', 'SA', 'H3']
name: baseline1, hole_card: ['D4', 'H6']
name: b10902022, hole_card: ['CA', 'CT']
name: baseline1, hole_card: ['D4', 'H6']
name: b10902022, hole_card: ['CA', 'CT']
name: baseline1, hole_card: ['D4', 'H6']
name: b10902022, hole_card: ['CA', 'CT']
community cards of this round: ['H8', 'SK', 'HJ', 'DK', 'H2']
name: baseline1, hole_card: ['S3', 'C5']
name: b10902022, hole_card: ['S9', 'HK']
name: baseline1, hole_card: ['S3', 'C5']
name: b10902022, hole_card: ['S9', 'HK']
community cards of this round: ['SK', 'S9', 'S8', 'D4', 'C2']
name: baseline1, hole_card: ['D9', 'HT']
name: b10902022, hole_card: ['CJ', 'H5']
name: baseline1, hole_card: ['D9', 'HT']
name: b10902022, hole_card: ['CJ', 'H5']
name: baseline1, hole_card: ['D9', 'HT']
name: b10902022, hole_card: ['CJ', 'H5']
b10902022 vs baseline1 - Game 3: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'baseline1', 'uuid': 'jlhzsibkjoyqzblsmeujbe', 'stack': 999, 'state': 'participating'}, {'name': 'b10902022', 'uuid': 'uulfywphlaktcesnfvsqnd', 'stack': 1001, 'state': 'participating'}]}
community cards of this round: ['CA', 'DJ', 'SJ', 'SK', 'C3']
name: b10902022, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['SA', 'S7']
name: b10902022, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['SA', 'S7']
name: b10902022, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['SA', 'S7']
name: b10902022, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['SA', 'S7']
name: b10902022, hole_card: ['H2', 'D7']
name: baseline1, hole_card: ['SA', 'S7']
community cards of this round: ['DK', 'D7', 'SA', 'CA', 'ST']
name: b10902022, hole_card: ['HQ', 'D9']
name: baseline1, hole_card: ['HT', 'H9']
name: b10902022, hole_card: ['HQ', 'D9']
name: baseline1, hole_card: ['HT', 'H9']
name: b10902022, hole_card: ['HQ', 'D9']
name: baseline1, hole_card: ['HT', 'H9']
name: b10902022, hole_card: ['HQ', 'D9']
name: baseline1, hole_card: ['HT', 'H9']
name: b10902022, hole_card: ['HQ', 'D9']
