community cards of this round: ['C3', 'HT', 'S8', 'DK', 'D4']
name: b10902123, hole_card: ['CJ', 'C6']
name: baseline1, hole_card: ['SJ', 'H4']
name: b10902123, hole_card: ['CJ', 'C6']
name: baseline1, hole_card: ['SJ', 'H4']
community cards of this round: ['HA', 'C2', 'C3', 'ST', 'H4']
name: b10902123, hole_card: ['D4', 'H8']
name: baseline1, hole_card: ['H9', 'C5']
name: b10902123, hole_card: ['D4', 'H8']
name: baseline1, hole_card: ['H9', 'C5']
name: b10902123, hole_card: ['D4', 'H8']
name: baseline1, hole_card: ['H9', 'C5']
community cards of this round: ['S5', 'CK', 'S2', 'HT', 'D9']
name: b10902123, hole_card: ['DT', 'C6']
name: baseline1, hole_card: ['C9', 'DJ']
name: b10902123, hole_card: ['DT', 'C6']
name: baseline1, hole_card: ['C9', 'DJ']
community cards of this round: ['CA', 'HA', 'SK', 'S3', 'CJ']
name: b10902123, hole_card: ['HJ', 'SQ']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902123, hole_card: ['HJ', 'SQ']
name: baseline1, hole_card: ['C2', 'DT']
name: b10902123, hole_card: ['HJ', 'SQ']
name: baseline1, hole_card: ['C2', 'DT']
community cards of this round: ['SJ', 'ST', 'H3', 'H2', 'HK']
name: b10902123, hole_card: ['H4', 'D7']
name: baseline1, hole_card: ['H8', 'CJ']
name: b10902123, hole_card: ['H4', 'D7']
name: baseline1, hole_card: ['H8', 'CJ']
community cards of this round: ['DA', 'D9', 'C9', 'HQ', 'C7']
name: b10902123, hole_card: ['H3', 'C4']
name: baseline1, hole_card: ['CJ', 'D8']
name: b10902123, hole_card: ['H3', 'C4']
name: baseline1, hole_card: ['CJ', 'D8']
name: b10902123, hole_card: ['H3', 'C4']
name: baseline1, hole_card: ['CJ', 'D8']
community cards of this round: ['S4', 'S3', 'D3', 'HA', 'SQ']
name: b10902123, hole_card: ['HK', 'DQ']
name: baseline1, hole_card: ['HJ', 'CQ']
name: b10902123, hole_card: ['HK', 'DQ']
name: baseline1, hole_card: ['HJ', 'CQ']
community cards of this round: ['S2', 'S8', 'S7', 'HQ', 'D5']
name: b10902123, hole_card: ['CK', 'D3']
name: baseline1, hole_card: ['D4', 'HJ']
name: b10902123, hole_card: ['CK', 'D3']
name: baseline1, hole_card: ['D4', 'HJ']
name: b10902123, hole_card: ['CK', 'D3']
name: baseline1, hole_card: ['D4', 'HJ']
community cards of this round: ['H6', 'SK', 'CJ', 'HA', 'H5']
name: b10902123, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'CT']
name: b10902123, hole_card: ['S3', 'C3']
name: baseline1, hole_card: ['SA', 'CT']
community cards of this round: ['D5', 'CA', 'D9', 'SQ', 'D3']
name: b10902123, hole_card: ['SK', 'C2']
name: baseline1, hole_card: ['C3', 'H8']
name: b10902123, hole_card: ['SK', 'C2']
name: baseline1, hole_card: ['C3', 'H8']
name: b10902123, hole_card: ['SK', 'C2']
name: baseline1, hole_card: ['C3', 'H8']
community cards of this round: ['H7', 'ST', 'C4', 'DT', 'D2']
name: b10902123, hole_card: ['C3', 'S4']
name: baseline1, hole_card: ['C6', 'H5']
name: b10902123, hole_card: ['C3', 'S4']
name: baseline1, hole_card: ['C6', 'H5']
b10902123 vs baseline1 - Game 2: {'rule': {'initial_stack': 1000, 'max_round': 20, 'small_blind_amount': 5, 'ante': 0, 'blind_structure': {}}, 'players': [{'name': 'b10902123', 'uuid': 'rjgpbopwomjkfyaspaqufq', 'stack': 1010, 'state': 'participating'}, {'name': 'baseline1', 'uuid': 'yntewkfyqfwxesmzbzuhew', 'stack': 990, 'state': 'participating'}]}
community cards of this round: ['C3', 'CT', 'HQ', 'SJ', 'D3']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
name: baseline1, hole_card: ['D7', 'DA']
name: b10902123, hole_card: ['C8', 'D5']
community cards of this round: ['H3', 'CK', 'CA', 'S9', 'H8']
name: baseline1, hole_card: ['SA', 'D7']
name: b10902123, hole_card: ['D6', 'H7']
name: baseline1, hole_card: ['SA', 'D7']
name: b10902123, hole_card: ['D6', 'H7']
name: baseline1, hole_card: ['SA', 'D7']
name: b10902123, hole_card: ['D6', 'H7']
name: baseline1, hole_card: ['SA', 'D7']
name: b10902123, hole_card: ['D6', 'H7']
name: baseline1, hole_card: ['SA', 'D7']
name: b10902123, hole_card: ['D6', 'H7']
community cards of this round: ['D9', 'HQ', 'S2', 'HA', 'H9']
name: baseline1, hole_card: ['H2', 'S9']
name: b10902123, hole_card: ['HT', 'CT']
name: baseline1, hole_card: ['H2', 'S9']
name: b10902123, hole_card: ['HT', 'CT']
name: baseline1, hole_card: ['H2', 'S9']
name: b10902123, hole_card: ['HT', 'CT']
name: baseline1, hole_card: ['H2', 'S9']
name: b10902123, hole_card: ['HT', 'CT']
name: baseline1, hole_card: ['H2', 'S9']
name: b10902123, hole_card: ['HT', 'CT']
name: baseline1, hole_card: ['H2', 'S9']
name: b10902123, hole_card: ['HT', 'CT']
name: baseline1, hole_card: ['H2', 'S9']
name: b10902123, hole_card: ['HT', 'CT']
community cards of this round: ['SQ', 'SJ', 'C6', 'D8', 'D5']
name: baseline1, hole_card: ['H9', 'H4']
name: b10902123, hole_card: ['D4', 'HT']
name: baseline1, hole_card: ['H9', 'H4']
name: b10902123, hole_card: ['D4', 'HT']
name: baseline1, hole_card: ['H9', 'H4']
name: b10902123, hole_card: ['D4', 'HT']
community cards of this round: ['D6', 'ST', 'SQ', 'HA', 'H6']
name: baseline1, hole_card: ['S3', 'H4']
name: b10902123, hole_card: ['H9', 'H8']
name: baseline1, hole_card: ['S3', 'H4']
name: b10902123, hole_card: ['H9', 'H8']
community cards of this round: ['HJ', 'SJ', 'SA', 'CJ', 'C9']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902123, hole_card: ['H4', 'DQ']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902123, hole_card: ['H4', 'DQ']
name: baseline1, hole_card: ['DA', 'S7']
name: b10902123, hole_card: ['H4', 'DQ']
community cards of this round: ['SQ', 'HK', 'H6', 'C4', 'C8']
name: baseline1, hole_card: ['DA', 'DJ']
name: b10902123, hole_card: ['CA', 'HJ']
name: baseline1, hole_card: ['DA', 'DJ']
name: b10902123, hole_card: ['CA', 'HJ']
community cards of this round: ['C8', 'HJ', 'DQ', 'S7', 'D3']
name: baseline1, hole_card: ['S4', 'HT']
name: b10902123, hole_card: ['H7', 'CJ']
name: baseline1, hole_card: ['S4', 'HT']
name: b10902123, hole_card: ['H7', 'CJ']
name: baseline1, hole_card: ['S4', 'HT']
name: b10902123, hole_card: ['H7', 'CJ']
community cards of this round: ['CT', 'HA', 'D3', 'H5', 'CA']
name: baseline1, hole_card: ['SQ', 'C6']
name: b10902123, hole_card: ['S9', 'DA']
name: baseline1, hole_card: ['SQ', 'C6']
name: b10902123, hole_card: ['S9', 'DA']
community cards of this round: ['H4', 'CQ', 'HK', 'C5', 'S9']
name: baseline1, hole_card: ['H5', 'D8']
name: b10902123, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['H5', 'D8']
name: b10902123, hole_card: ['DJ', 'SQ']
name: baseline1, hole_card: ['H5', 'D8']
name: b10902123, hole_card: ['DJ', 'SQ']
community cards of this round: ['ST', 'SJ', 'S4', 'DQ', 'H8']
name: baseline1, hole_card: ['CT', 'C6']
name: b10902123, hole_card: ['HJ', 'H5']
