community cards of this round: ['H8', 'S3', 'CA', 'D3', 'HQ']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
name: b10902054, hole_card: ['DA', 'S7']
name: baseline1, hole_card: ['S6', 'D4']
community cards of this round: ['H5', 'DT', 'H3', 'CA', 'SQ']
name: b10902054, hole_card: ['D8', 'DA']
name: baseline1, hole_card: ['ST', 'S5']
name: b10902054, hole_card: ['D8', 'DA']
name: baseline1, hole_card: ['ST', 'S5']
name: b10902054, hole_card: ['D8', 'DA']
name: baseline1, hole_card: ['ST', 'S5']
name: b10902054, hole_card: ['D8', 'DA']
name: baseline1, hole_card: ['ST', 'S5']
name: b10902054, hole_card: ['D8', 'DA']
name: baseline1, hole_card: ['ST', 'S5']
name: b10902054, hole_card: ['D8', 'DA']
name: baseline1, hole_card: ['ST', 'S5']
community cards of this round: ['CA', 'D4', 'HT', 'S3', 'H6']
name: b10902054, hole_card: ['S8', 'H3']
name: baseline1, hole_card: ['D5', 'C8']
name: b10902054, hole_card: ['S8', 'H3']
name: baseline1, hole_card: ['D5', 'C8']
name: b10902054, hole_card: ['S8', 'H3']
name: baseline1, hole_card: ['D5', 'C8']
name: b10902054, hole_card: ['S8', 'H3']
name: baseline1, hole_card: ['D5', 'C8']
community cards of this round: ['H6', 'SJ', 'DA', 'S5', 'S3']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
name: baseline1, hole_card: ['D8', 'S6']
name: b10902054, hole_card: ['S4', 'H8']
